winner,details,url,year,date,location,host,is_person,is_album_or_single
Fairground Attraction,Best British Album,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,False,True
Annie Lennox,Best British Female,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,True,False
Erasure,Best British Group,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,True,False
Phil Collins,Best British Male,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,True,False
Bros,Best British Newcomer,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,True,False
Fairground Attraction,Best British Single,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,False,True
Trevor Pinnock,Best Classical Recording,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,False,False
,Best International Female,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,True,False
U2,Best International Group,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,True,False
Michael Jackson,Best International Male,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,True,False
Tracy Chapman,Best International Newcomer,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,True,False
Michael Jackson,Best Music Video,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,False,False
Buster,Best Soundtrack/Cast Recording,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,False,False
Cliff Richard,Outstanding Contribution,https://www.brits.co.uk/history/the-brits-1989/,1989,1989-02-13,"Royal Albert Hall, London",Mick Fleetwood & Samantha Fox,True,False
Adele,Artist of the Year,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,True,False
Becky Hill,Best Dance Act,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,True,False
Wolf Alice,Best Group,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,True,False
Dave,Best Hip Hop/Grime/Rap Act,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,True,False
Little Simz,Best New Artist,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,True,False
Dua Lipa,Best Pop/R&B Act,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,True,False
Sam Fender,Best Rock/Alternative Act,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,True,False
Billie Eilish,International Artist of the Year,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,True,False
Silk Sonic,International Group of the Year,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,True,False
Olivia Rodrigo - good 4 u,International Song of the Year,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,False,False
Adele - 30,Mastercard Album of The Year,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,False,True
Adele - Easy On Me,Song of the Year,https://www.brits.co.uk/history/the-brits-2022/,2022,2022-08-02,The O2,Mo Gilligan,False,False
Harry Styles - 'Sign Of The Times',British Artist Video Of The Year,https://www.brits.co.uk/history/the-brits-2018/,2018,2018-02-21,The O2,Jack Whitehall,False,False
Dua Lipa,British Breakthrough Act,https://www.brits.co.uk/history/the-brits-2018/,2018,2018-02-21,The O2,Jack Whitehall,False,False
Dua Lipa,British Female Solo Artist,https://www.brits.co.uk/history/the-brits-2018/,2018,2018-02-21,The O2,Jack Whitehall,False,False
Gorillaz,British Group,https://www.brits.co.uk/history/the-brits-2018/,2018,2018-02-21,The O2,Jack Whitehall,False,False
Stormzy,British Male Solo Artist,https://www.brits.co.uk/history/the-brits-2018/,2018,2018-02-21,The O2,Jack Whitehall,False,False
Steve Mac,British Producer Of The Year,https://www.brits.co.uk/history/the-brits-2018/,2018,2018-02-21,The O2,Jack Whitehall,False,False
Rag'n'Bone Man - 'Human',British Single,https://www.brits.co.uk/history/the-brits-2018/,2018,2018-02-21,The O2,Jack Whitehall,False,False
Ed Sheeran,BRITs GLOBAL SUCCESS AWARD,https://www.brits.co.uk/history/the-brits-2018/,2018,2018-02-21,The O2,Jack Whitehall,False,False
