award,is_album,is_song,is_artist
Album Of The Year,True,False,False
Best Album Cover,True,False,False
Best Arrangement,False,False,False
Best Classical Performance - Chamber Music (Including Chamber Orchestra),False,False,False
Best Classical Performance - Instrumentalist (Other Than Concerto-Scale Accompaniment),False,False,False
Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),False,False,False
Best Classical Performance - Operatic Or Choral,False,False,False
Best Classical Performance - Orchestra,False,False,False
Best Classical Performance - Vocal Soloist (With Or Without Orchestra),False,False,False
Best Comedy Performance,False,False,False
Best Country & Western Performance,False,False,False
Best Engineered Record (Classical),False,False,False
Best Engineered Record - Non-Classical,False,False,False
"Best Jazz Performance, Group",False,False,False
"Best Jazz Performance, Individual",False,False,False
Best Musical Composition First Recorded And Released In 1958 (Over 5 Minutes Duration),False,False,False
Best Original Cast Album (Broadway Or TV),True,False,False
Best Performance By A Vocal Group Or Chorus,False,False,False
Best Performance By An Orchestra,False,False,False
"Best Performance, Documentary Or Spoken Word",False,False,False
Best Recording For Children,False,False,False
Best Rhythm & Blues Performance,False,False,False
"Best Sound Track Album, Dramatic Picture Score Or Original Cast",True,False,False
"Best Vocal Performance, Female",False,False,False
"Best Vocal Performance, Male",False,False,False
Record Of The Year,False,False,False
Song Of The Year,False,True,False
Best Broadway Show Album,True,False,False
Best Classical Performance - Concerto Or Instrumental Soloist (Other Than Full Orchestral Accompaniment),False,False,False
Best Classical Performance - Concerto Or Instrumental Soloist (With Full Orchestral Accompaniment),False,False,False
Best Classical Performance - Opera Cast Or Choral,False,False,False
Best Comedy Performance - Spoken Word,False,False,False
Best Engineering Contribution - Classical Recording,False,False,False
Best Engineering Contribution - Novelty Recording,False,False,False
Best Jazz Performance - Group,False,False,False
Best Jazz Performance - Soloist,False,False,False
Best Musical Composition First Recorded And Released In 1959 (More Than 5 Minutes Duration),False,False,False
Best New Artist Of 1959,False,False,True
Best Performance - Documentary Or Spoken Word (Other Than Comedy),False,False,False
Best Performance - Folk,False,False,False
"Best Performance By A ""Top 40"" Artist",False,False,True
Best Performance By A Dance Band,False,False,False
Best Sound Track Album - Background Score From A Motion Picture Or Television,True,False,False
"Best Sound Track Album, Original Cast - Motion Picture Or Television",True,False,False
Best Album Created For Children,True,False,False
Best Classical Opera Production,False,False,False
Best Classical Performance - Choral (Including Oratorio),False,False,False
Best Classical Performance - Concerto Or Instrumental Soloist,False,False,False
Best Classical Performance - Instrumental Soloist Or Duo (Other Than With Orchestral Accompaniment),False,False,False
Best Classical Performance - Vocal Or Instrumental - Chamber Music,False,False,False
Best Classical Performance - Vocal Soloist,False,False,False
Best Contemporary Classical Composition,False,False,False
Best Engineering Contribution - Popular Recording,False,False,False
Best Jazz Composition Of More Than Five Minutes Duration,False,False,False
Best Jazz Performance Large Group,False,False,False
Best Jazz Performance Solo Or Small Group,False,False,False
Best New Artist Of 1960,False,False,True
Best Performance By A Band For Dancing,False,False,False
Best Performance By A Pop Single Artist,False,False,True
Best Performance By A Vocal Group (2 To 6),False,False,False
Best Show Album (Original Cast),True,False,False
Best Sound Track Album Or Recording Of Original Cast From Motion Picture Or Television,True,False,False
Best Soundtrack Album Or Recording Of Music Score From A Motion Picture Of Television,True,False,False
"Best Vocal Performance Single Record Or Track, Female",False,False,False
"Best Vocal Performance Single Record Or Track, Male",False,False,False
Album Of The Year (Other Than Classical),True,False,False
Album Of The Year - Classical,True,False,False
Best Album Cover (Other Than Classical),True,False,False
Best Classical Performance - Chamber Music,False,False,False
Best Classical Performance - Choral (Other Than Opera),False,False,False
Best Classical Performance - Instrumental Soloist (With Orchestra),False,False,False
Best Classical Performance - Instrumental Soloist Or Duo (Without Orchestra),False,False,False
Best Country & Western Recording,False,False,False
Best Documentary Or Spoken Word Recording (Other Than Comedy),False,False,False
Best Folk Recording,False,False,False
Best Gospel Or Other Religious Recording,False,False,False
Best Instrumental Theme Or Instrumental Version Of Song,False,True,False
Best Jazz Performance - Large Group (Instrumental),False,False,False
Best Jazz Performance - Soloist Or Small Group (Instrumental),False,False,False
Best New Artist Of 1961,False,False,True
Best Opera Recording,False,False,False
Best Original Cast Show Album,True,False,False
Best Original Jazz Composition,False,False,False
Best Performance By A Vocal Group,False,False,False
Best Performance By An Orchestra - For Dancing,False,False,False
Best Rhythm & Blues Recording,False,False,False
