id,award
8646,Actor In A Leading Role
8651,Actor In A Supporting Role
8656,Actress In A Leading Role
8661,Actress In A Supporting Role
8666,Animated Feature Film
8671,Animated Short Film
8726,Best Picture
8676,Cinematography
8681,Costume Design
8686,Directing
8691,Documentary Feature Film
8696,Documentary Short Film
8701,Film Editing
8767,Honorary Award
8706,International Feature Film
8769,Irving G. Thalberg Memorial Award
8766,Jean Hersholt Humanitarian Award
8711,Makeup And Hairstyling
8716,Music (Original Score)
8721,Music (Original Song)
8736,Production Design
8770,Scientific And Technical Award (Academy Award Of Merit)
8771,Scientific And Technical Award (Scientific And Engineering Award)
8777,Scientific And Technical Award (Technical Achievement Award)
8741,Short Film (Live Action)
8746,Sound
8751,Visual Effects
8756,Writing (Adapted Screenplay)
8761,Writing (Original Screenplay)
8596,Short Film (Animated)
8505,Award Of Commendation
8497,Gordon E. Sawyer Award
8289,Documentary (Feature)
8294,Documentary (Short Subject)
8083,Sound Editing
8088,Sound Mixing
7904,Foreign Language Film
7983,John A. Bonner Medal Of Commendation
7833,Special Award
7566,Scientific And Technical Award (Special Award)
6895,Art Direction
6935,Makeup
5675,Writing (Screenplay Based On Material Previously Produced Or Published)
5680,Writing (Screenplay Written Directly For The Screen)
11961,Sound Effects Editing
11780,Music (Original Dramatic Score)
11785,Music (Original Musical Or Comedy Score)
11424,Special Achievement Award
11310,Medal Of Commendation
10911,Scientific Or Technical Award (Scientific And Engineering Award)
10920,Scientific Or Technical Award (Technical Achievement Award)
10784,Scientific Or Technical Award (Academy Award Of Merit)
10779,Special Achievement Award (Visual Effects)
10769,Writing (Screenplay Based On Material From Another Medium)
10421,Special Achievement Award (Sound Effects Editing)
10030,Music (Original Song Score)
9912,Music (Original Song Score Or Adaptation Score)
9791,Music (Original Song Score And Its Adaptation -Or- Adaptation Score)
9571,Short Film (Dramatic Live Action)
9475,Special Achievement Award (Sound Editing)
9310,Music (Adaptation Score)
9191,Music (Original Song Score And Its Adaptation Or Adaptation Score)
9235,Scientific Or Technical Award (Class I)
9236,Scientific Or Technical Award (Class Ii)
9242,Scientific Or Technical Award (Class Iii)
9225,Writing (Screenplay Written Directly For The Screen--Based On Factual Material Or On Story Material Not Previously Published Or Produced)
9220,Writing (Screenplay--Based On Material From Another Medium)
8899,Actor
8909,Actress
8964,Music (Scoring: Original Song Score And Adaptation -Or- Scoring: Adaptation)
9001,Special Achievement Award (Sound Effects)
8996,Writing (Screenplay Adapted From Other Material)
8853,Music (Song)
5416,Short Subject (Animated)
5419,Short Subject (Live Action)
5432,Writing (Story And Screenplay--Based On Factual Material Or Material Not Previously Published Or Produced)
5291,Music (Scoring: Adaptation And Original Song Score)
5294,Music (Song--Original For The Picture)
5206,Special Visual Effects
5083,Short Subject (Cartoon)
4951,Music (Original Score--For A Motion Picture [Not A Musical])
4956,Music (Score Of A Musical Picture--Original Or Adaptation)
4989,Writing (Story And Screenplay--Based On Material Not Previously Published Or Produced)
4872,Writing (Story And Screenplay--Written Directly For The Screen)
4719,Music (Original Music Score)
4724,Music (Scoring Of Music--Adaptation Or Treatment)
4751,Sound Effects
4550,Art Direction (Black-And-White)
4555,Art Direction (Color)
4560,Cinematography (Black-And-White)
4565,Cinematography (Color)
4570,Costume Design (Black-And-White)
4575,Costume Design (Color)
4478,Music (Music Score--Substantially Original)
4258,Special Effects
3981,Best Motion Picture
3966,Music (Music Score Of A Dramatic Or Comedy Picture)
3971,Music (Scoring Of A Musical Picture)
3475,Music (Scoring)
3500,Sound Recording
3384,Short Subject (One-Reel)
3387,Short Subject (Two-Reel)
3398,Writing (Motion Picture Story)
3403,Writing (Screenplay--Adapted)
3408,Writing (Screenplay--Original)
3278,Honorary Foreign Language Film Award
3268,Writing (Screenplay)
3273,Writing (Story And Screenplay)
2496,Special Foreign Language Film Award
2135,Writing (Original Motion Picture Story)
1642,Outstanding Motion Picture
1386,Documentary
1212,Music (Music Score Of A Dramatic Picture)
1308,Writing (Original Story)
1076,Outstanding Production
584,Assistant Director
592,Dance Direction
641,Short Subject (Color)
405,Short Subject (Comedy)
408,Short Subject (Novelty)
334,Writing (Adaptation)
110,Writing
62,Outstanding Picture
11,Directing (Comedy Picture)
13,Directing (Dramatic Picture)
16,Engineering Effects
22,Unique And Artistic Picture
30,Writing (Title Writing)
