year,edition,award,nomination_actor,nomination_country,nomination_character_name,nomination_citation,nomination_producers,nomination_description,film_title,is_winner,acceptance_speech_text,acceptance_speech_url
2024,97,Actor In A Leading Role,Adrien Brody,,László Tóth,,,,The Brutalist,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-1&amp;qn=AAspeeches
2024,97,Actor In A Leading Role,Timothée Chalamet,,Bob Dylan,,,,A Complete Unknown,False,,
2024,97,Actor In A Leading Role,Colman Domingo,,Divine G,,,,Sing Sing,False,,
2024,97,Actor In A Leading Role,Ralph Fiennes,,Lawrence,,,,Conclave,False,,
2024,97,Actor In A Leading Role,Sebastian Stan,,Donald Trump,,,,The Apprentice,False,,
2024,97,Actor In A Supporting Role,Yura Borisov,,Igor,,,,Anora,False,,
2024,97,Actor In A Supporting Role,Kieran Culkin,,Benji Kaplan,,,,A Real Pain,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-2&amp;qn=AAspeeches
2024,97,Actor In A Supporting Role,Edward Norton,,Pete Seeger,,,,A Complete Unknown,False,,
2024,97,Actor In A Supporting Role,Guy Pearce,,Harrison Leo Van Buren Sr.,,,,The Brutalist,False,,
2024,97,Actor In A Supporting Role,Jeremy Strong,,Roy Cohn,,,,The Apprentice,False,,
2024,97,Actress In A Leading Role,Cynthia Erivo,,Elphaba,,,,Wicked,False,,
2024,97,Actress In A Leading Role,Karla Sofía Gascón,,Emilia/Manitas,,,,Emilia Pérez,False,,
2024,97,Actress In A Leading Role,Mikey Madison,,Ani,,,,Anora,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-3&amp;qn=AAspeeches
2024,97,Actress In A Leading Role,Demi Moore,,Elisabeth Sparkle,,,,The Substance,False,,
2024,97,Actress In A Leading Role,Fernanda Torres,,Eunice Paiva,,,,I'm Still Here,False,,
2024,97,Actress In A Supporting Role,Monica Barbaro,,Joan Baez,,,,A Complete Unknown,False,,
2024,97,Actress In A Supporting Role,Ariana Grande,,Galinda/Glinda,,,,Wicked,False,,
2024,97,Actress In A Supporting Role,Felicity Jones,,Erzébet Tóth,,,,The Brutalist,False,,
2024,97,Actress In A Supporting Role,Isabella Rossellini,,Sister Agnes,,,,Conclave,False,,
2024,97,Actress In A Supporting Role,Zoe Saldaña,,Rita,,,,Emilia Pérez,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-4&amp;qn=AAspeeches
2024,97,Animated Feature Film,"Gints Zilbalodis, Matiss Kaža, Ron Dyens and Gregory Zalcman",,,,,,Flow,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-5&amp;qn=AAspeeches
2024,97,Animated Feature Film,Kelsey Mann and Mark Nielsen,,,,,,Inside Out 2,False,,
2024,97,Animated Feature Film,Adam Elliot and Liz Kearney,,,,,,Memoir of a Snail,False,,
2024,97,Animated Feature Film,"Nick Park, Merlin Crossingham and Richard Beek",,,,,,Wallace & Gromit: Vengeance Most Fowl,False,,
2024,97,Animated Feature Film,Chris Sanders and Jeff Hermann,,,,,,The Wild Robot,False,,
2024,97,Animated Short Film,Nicolas Keppens and Brecht Van Elslande,,,,,,Beautiful Men,False,,
2024,97,Animated Short Film,Shirin Sohani and Hossein Molayemi,,,,,,In the Shadow of the Cypress,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-6&amp;qn=AAspeeches
2024,97,Animated Short Film,Daisuke Nishio and Takashi Washio,,,,,,Magic Candies,False,,
2024,97,Animated Short Film,Nina Gantz and Stienette Bosklopper,,,,,,Wander to Wonder,False,,
2024,97,Animated Short Film,Loïc Espuche and Juliette Marquet,,,,,,Yuck!,False,,
2024,97,Best Picture,"Alex Coco, Samantha Quan and Sean Baker, Producers",,,,,,Anora,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-17&amp;qn=AAspeeches
2024,97,Best Picture,"Nick Gordon, Brian Young, Andrew Morrison, D.J. Gugenheim and Brady Corbet, Producers",,,,,,The Brutalist,False,,
2024,97,Best Picture,"Fred Berger, James Mangold and Alex Heineman, Producers",,,,,,A Complete Unknown,False,,
2024,97,Best Picture,"Tessa Ross, Juliette Howell and Michael A. Jackman, Producers",,,,,,Conclave,False,,
2024,97,Best Picture,"Mary Parent, Cale Boyter, Tanya Lapointe and Denis Villeneuve, Producers",,,,,,Dune: Part Two,False,,
2024,97,Best Picture,"Pascal Caucheteux and Jacques Audiard, Producers",,,,,,Emilia Pérez,False,,
2024,97,Best Picture,"Maria Carlota Bruno and Rodrigo Teixeira, Producers",,,,,,I'm Still Here,False,,
2024,97,Best Picture,"Dede Gardner, Jeremy Kleiner and Joslyn Barnes, Producers",,,,,,Nickel Boys,False,,
2024,97,Best Picture,"Coralie Fargeat and Tim Bevan & Eric Fellner, Producers",,,,,,The Substance,False,,
2024,97,Best Picture,"Marc Platt, Producer",,,,,,Wicked,False,,
2024,97,Cinematography,Lol Crawley,,,,,,The Brutalist,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-7&amp;qn=AAspeeches
2024,97,Cinematography,Greig Fraser,,,,,,Dune: Part Two,False,,
2024,97,Cinematography,Paul Guilhaume,,,,,,Emilia Pérez,False,,
2024,97,Cinematography,Ed Lachman,,,,,,Maria,False,,
2024,97,Cinematography,Jarin Blaschke,,,,,,Nosferatu,False,,
2024,97,Costume Design,Arianne Phillips,,,,,,A Complete Unknown,False,,
2024,97,Costume Design,Lisy Christl,,,,,,Conclave,False,,
2024,97,Costume Design,Janty Yates and Dave Crossman,,,,,,Gladiator II,False,,
2024,97,Costume Design,Linda Muir,,,,,,Nosferatu,False,,
2024,97,Costume Design,Paul Tazewell,,,,,,Wicked,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-8&amp;qn=AAspeeches
2024,97,Directing,Sean Baker,,,,,,Anora,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-9&amp;qn=AAspeeches
2024,97,Directing,Brady Corbet,,,,,,The Brutalist,False,,
2024,97,Directing,James Mangold,,,,,,A Complete Unknown,False,,
2024,97,Directing,Jacques Audiard,,,,,,Emilia Pérez,False,,
2024,97,Directing,Coralie Fargeat,,,,,,The Substance,False,,
2024,97,Documentary Feature Film,"Shiori Ito, Eric Nyari and Hanna Aqvilin",,,,,,Black Box Diaries,False,,
2024,97,Documentary Feature Film,"Basel Adra, Rachel Szor, Hamdan Ballal and Yuval Abraham",,,,,,No Other Land,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-10&amp;qn=AAspeeches
2024,97,Documentary Feature Film,"Brendan Bellomo, Slava Leontyev, Aniela Sidorska and Paula DuPre' Pesmen",,,,,,Porcelain War,False,,
2024,97,Documentary Feature Film,"Johan Grimonprez, Daan Milius and Rémi Grellety",,,,,,Soundtrack to a Coup d'Etat,False,,
2024,97,Documentary Feature Film,"Julian Brave NoiseCat, Emily Kassie and Kellen Quinn",,,,,,Sugarcane,False,,
2024,97,Documentary Short Film,Kim A. Snyder and Janique L. Robillard,,,,,,Death by Numbers,False,,
2024,97,Documentary Short Film,Smriti Mundhra and Maya Gnyp,,,,,,"I Am Ready, Warden",False,,
2024,97,Documentary Short Film,Bill Morrison and Jamie Kalven,,,,,,Incident,False,,
2024,97,Documentary Short Film,Ema Ryan Yamazaki and Eric Nyari,,,,,,Instruments of a Beating Heart,False,,
2024,97,Documentary Short Film,Molly O'Brien and Lisa Remington,,,,,,The Only Girl in the Orchestra,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-11&amp;qn=AAspeeches
2024,97,Film Editing,Sean Baker,,,,,,Anora,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-12&amp;qn=AAspeeches
2024,97,Film Editing,David Jancso,,,,,,The Brutalist,False,,
2024,97,Film Editing,Nick Emerson,,,,,,Conclave,False,,
2024,97,Film Editing,Juliette Welfling,,,,,,Emilia Pérez,False,,
2024,97,Film Editing,Myron Kerstein,,,,,,Wicked,False,,
2024,97,Honorary Award,,,,"To Quincy Jones, for his artistic genius, relentless creativity and trailblazing legacy in film music.",,,,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-202&amp;qn=AAspeeches
2024,97,Honorary Award,,,,"To Juliet Taylor, for her expansive body of work and indelible influence on the field of film casting.",,,,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-203&amp;qn=AAspeeches
2024,97,International Feature Film,,France,,,,,Emilia Pérez,False,,
2024,97,International Feature Film,,Latvia,,,,,Flow,False,,
2024,97,International Feature Film,,Denmark,,,,,The Girl with the Needle,False,,
2024,97,International Feature Film,,Brazil,,,,,I'm Still Here,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-13&amp;qn=AAspeeches
2024,97,International Feature Film,,Germany,,,,,The Seed of the Sacred Fig,False,,
2024,97,Irving G. Thalberg Memorial Award,Michael G. Wilson and Barbara Broccoli,,,,,,,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-204&amp;qn=AAspeeches
2024,97,Jean Hersholt Humanitarian Award,Richard Curtis,,,,,,,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-201&amp;qn=AAspeeches
2024,97,Makeup And Hairstyling,"Mike Marino, David Presto and Crystal Jurado",,,,,,A Different Man,False,,
2024,97,Makeup And Hairstyling,"Julia Floch Carbonel, Emmanuel Janvier and Jean-Christophe Spadaccini",,,,,,Emilia Pérez,False,,
2024,97,Makeup And Hairstyling,"David White, Traci Loader and Suzanne Stokes-Munton",,,,,,Nosferatu,False,,
2024,97,Makeup And Hairstyling,"Pierre-Olivier Persin, Stéphanie Guillon and Marilyne Scarselli",,,,,,The Substance,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-14&amp;qn=AAspeeches
2024,97,Makeup And Hairstyling,"Frances Hannon, Laura Blount and Sarah Nuth",,,,,,Wicked,False,,
2024,97,Music (Original Score),,,,,Daniel Blumberg,,The Brutalist,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-15&amp;qn=AAspeeches
2024,97,Music (Original Score),,,,,Volker Bertelmann,,Conclave,False,,
2024,97,Music (Original Score),,,,,Clément Ducol and Camille,,Emilia Pérez,False,,
2024,97,Music (Original Score),,,,,John Powell and Stephen Schwartz,,Wicked,False,,
2024,97,Music (Original Score),,,,,Kris Bowers,,The Wild Robot,False,,
2024,97,Music (Original Song),,,,,"Music by Clément Ducol and Camille; Lyric by Clément Ducol, Camille and Jacques Audiard",,Emilia Pérez,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-16&amp;qn=AAspeeches
2024,97,Music (Original Song),,,,,Music and Lyric by Diane Warren,,The Six Triple Eight,False,,
2024,97,Music (Original Song),,,,,Music and Lyric by Abraham Alexander and Adrian Quesada,,Sing Sing,False,,
2024,97,Music (Original Song),,,,,Music and Lyric by Camille and Clément Ducol,,Emilia Pérez,False,,
2024,97,Music (Original Song),,,,,"Music and Lyric by Elton John, Brandi Carlile, Andrew Watt and Bernie Taupin",,Elton John: Never Too Late,False,,
2024,97,Production Design,Production Design: Judy Becker; Set Decoration: Patricia Cuccia,,,,,,The Brutalist,False,,
2024,97,Production Design,Production Design: Suzie Davies; Set Decoration: Cynthia Sleiter,,,,,,Conclave,False,,
2024,97,Production Design,Production Design: Patrice Vermette; Set Decoration: Shane Vieau,,,,,,Dune: Part Two,False,,
2024,97,Production Design,Production Design: Craig Lathrop; Set Decoration: Beatrice Brentnerová,,,,,,Nosferatu,False,,
2024,97,Production Design,Production Design: Nathan Crowley; Set Decoration: Lee Sandales,,,,,,Wicked,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-18&amp;qn=AAspeeches
2024,97,Scientific And Technical Award (Academy Award Of Merit),,,,"To all those who have developed and supported captioning technology, whether open or closed, for film.",,,,True,,
2024,97,Scientific And Technical Award (Scientific And Engineering Award),,,,To JAYSON DUMENIGO for the development of the Action Factory Hydrogels.,,"Action Factory hydrogels are engineered to allow longer burns at higher temperatures with quick turnaround times, increasing the safety and efficiency of fire stunt performances.",,True,,
2024,97,Scientific And Technical Award (Scientific And Engineering Award),,,,"To THIJS VOGELS, FABRICE ROUSSELLE, DAVID ADLER, GERHARD RÖTHLIN and MARK MEYER for the creation of Disney's ML Denoiser.",,This sophisticated machine learning denoiser features a ground-breaking kernel-predicting convolutional network and temporal stability. It has been adopted far beyond its original domain of animation and is an essential tool for creating computer-generated imagery in feature films.,,True,,
2024,97,Scientific And Technical Award (Scientific And Engineering Award),,,,"To NIR AVERBUCH, YAIR CHUCHEM and DAN RAVIV for the concept, design and development of the Auto Align Post 2.",,"Sound Radix's Auto Align Post 2 allows the seamless blending of multiple moving microphones during film post-production, eliminating phase distortion, saving significant time over manual alignment methods and raising the reproduction quality of dialogue recorded on set.",,True,,
2024,97,Scientific And Technical Award (Scientific And Engineering Award),,,,"To CURT SCHALLER for the concept, design and development of the Trinity 2 system, and to DR. ROMAN FOLTYN for the software and hardware design of its motorized stabilized head.",,"The ARRI Trinity 2 is a body-worn system that combines a traditional inertial camera stabilization system with electronic gimbal technology, allowing unprecedented freedom of camera movement for acquiring shots with multiple transitions that are otherwise unobtainable.",,True,,
2024,97,Scientific And Technical Award (Scientific And Engineering Award),,,,"To STEVE WAGNER for the initial concept and software, to GARRETT BROWN for the design, and to JERRY HOLWAY and ROBERT ORF for the engineering of the Steadicam Volt stabilization system.",,"The Tiffen Steadicam Volt revolutionizes inertial stabilization with its advanced two-axis motorized design, creating artificial inertia and simulated friction while providing adjustable tactile feedback. Different modes allow the operator to alter the physical feel of the rig. The Volt empowers filmmakers to achieve dynamic shots with more complex camera movement while maintaining a stable roll axis.",,True,,
2024,97,Scientific And Technical Award (Scientific And Engineering Award),,,,"To DAVE FREETH for the design, engineering and development of the hand-held Stabileye three-axis motorized camera stabilization system.",,"The compact size and live adjustment of operating parameters of these devices facilitate subtle and dynamic camera moves closer to actors, and in tighter quarters than previously possible. Its low latency allows for instinctive operation whether controlled by a single operator or remotely.",,True,,
2024,97,Scientific And Technical Award (Technical Achievement Award),,,,"To ESSEX EDWARDS, JAMES JACOBS, JERNEJ BARBIC, CRAWFORD DORAN and ANDREW VAN STRATEN for the design and development of Ziva VFX.",,"Ziva VFX is a system for constructing and simulating muscles, fat, fascia, and skin for digital characters. An artist-friendly interface that emphasizes easily understood physical metaphors, coupled with a robust, physically accurate solver, has enabled a broad range of studios to bring visually rich creatures to life.",,True,,
2024,97,Scientific And Technical Award (Technical Achievement Award),,,,To JAVOR KALOJANOV and KIMBALL THURSTON for the creation of Weta FX's ML Denoiser.,,This denoiser prioritizes temporal filtering using innovative optical flow techniques to preserve crucial details. Novel training strategies allow its machine learning algorithms to denoise computer-generated imagery to the most exacting standards.,,True,,
2024,97,Scientific And Technical Award (Technical Achievement Award),,,,To NEEME VAINO for the development of Fireskin360 Naked Burn Gel.,,"This widely available gel allows longer targeted burns directly on the skin, broadening the range of fire stunts performed across the industry.",,True,,
2024,97,Scientific And Technical Award (Technical Achievement Award),,,,To DUSTIN BROOKS and COLIN DECKER for the development of naked burn gel.,,"Fire for Hire's gel first publicly demonstrated a ""naked burn,"" where fire appears directly on the skin, enabling a new form of safe fire stunts in motion pictures.",,True,,
2024,97,Scientific And Technical Award (Technical Achievement Award),,,,"To ATTILA T. ÁFRA for the creation of Intel Open Image Denoise, and to TIMO AILA for his pioneering work at NVIDIA applying U-Nets to denoising.",,"Open Image Denoise is an open-source library that provides an elegant API and runs on diverse hardware, leading to broad industry adoption. Its core technology is provided by the widely adopted U-Net architecture that improves efficiency and preserves detail, raising the quality of CG imagery across the industry.",,True,,
2024,97,Scientific And Technical Award (Technical Achievement Award),,,,To MARK NOEL for adapting and enhancing the safety and reliability of transportable six-degrees-of-freedom motion base technology for motion picture use.,,"The NACMO series of modular motion bases enables filmmakers to dynamically control simulated actions, providing precise movements, enhancing special effects, and enriching the visual experience for audiences worldwide.",,True,,
2024,97,Scientific And Technical Award (Technical Achievement Award),,,,"To SU TIE for the development of the sensor analysis and stabilization software, to BEI SHIMENG for the electrical engineering, and to ZHAO YANCHONG for the mechanical design and engineering of the Ronin 2 gimbal system.",,"Utilizing three-axis stabilization through multiple sensors, the DJI Ronin 2 has achieved broad adoption. It is controllable from a diverse set of input devices, enabling filmmakers to create complex, dynamic camera moves.",,True,,
2024,97,Scientific And Technical Award (Technical Achievement Award),,,,"To TABB FIRCHAU for the conception and development, to JOHN ELLISON and STEVE WEBB for the attitude control system, to DAVID BLOOMFIELD for the motor design, and to SHANE COLTON for the motor driver system design of the Movi gimbals.",,"Freefly Systems' introduction of handheld stabilized gimbals provides single-person or collaborative remote camera operation with various controllers, enabling previously difficult shots without dolly or crane-supported stabilized heads.",,True,,
2024,97,Short Film (Live Action),Sam Cutler-Kreutz and David Cutler-Kreutz,,,,,,A Lien,False,,
2024,97,Short Film (Live Action),Adam J. Graves and Suchitra Mattai,,,,,,Anuja,False,,
2024,97,Short Film (Live Action),Victoria Warmerdam and Trent,,,,,,I'm Not a Robot,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-19&amp;qn=AAspeeches
2024,97,Short Film (Live Action),Cindy Lee and Darwin Shaw,,,,,,The Last Ranger,False,,
2024,97,Short Film (Live Action),Nebojša Slijepcevic and Danijel Pek,,,,,,The Man Who Could Not Remain Silent,False,,
2024,97,Sound,"Tod A. Maitland, Donald Sylvester, Ted Caplan, Paul Massey and David Giammarco",,,,,,A Complete Unknown,False,,
2024,97,Sound,"Gareth John, Richard King, Ron Bartlett and Doug Hemphill",,,,,,Dune: Part Two,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-20&amp;qn=AAspeeches
2024,97,Sound,"Erwan Kerzanet, Aymeric Devoldère, Maxence Dussère, Cyril Holtz and Niels Barletta",,,,,,Emilia Pérez,False,,
2024,97,Sound,"Simon Hayes, Nancy Nugent Title, Jack Dolman, Andy Nelson and John Marquis",,,,,,Wicked,False,,
2024,97,Sound,"Randy Thom, Brian Chumney, Gary A. Rizzo and Leff Lefferts",,,,,,The Wild Robot,False,,
2024,97,Visual Effects,"Eric Barba, Nelson Sepulveda-Fauser, Daniel Macarin and Shane Mahan",,,,,,Alien: Romulus,False,,
2024,97,Visual Effects,"Luke Millar, David Clayton, Keith Herft and Peter Stubbs",,,,,,Better Man,False,,
2024,97,Visual Effects,"Paul Lambert, Stephen James, Rhys Salcombe and Gerd Nefzer",,,,,,Dune: Part Two,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-21&amp;qn=AAspeeches
2024,97,Visual Effects,"Erik Winquist, Stephen Unterfranz, Paul Story and Rodney Burke",,,,,,Kingdom of the Planet of the Apes,False,,
2024,97,Visual Effects,"Pablo Helman, Jonathan Fawkner, David Shirk and Paul Corbould",,,,,,Wicked,False,,
2024,97,Writing (Adapted Screenplay),Screenplay by James Mangold and Jay Cocks,,,,,,A Complete Unknown,False,,
2024,97,Writing (Adapted Screenplay),Screenplay by Peter Straughan,,,,,,Conclave,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-22&amp;qn=AAspeeches
2024,97,Writing (Adapted Screenplay),"Screenplay by Jacques Audiard; In collaboration with Thomas Bidegain, Léa Mysius and Nicolas Livecchi",,,,,,Emilia Pérez,False,,
2024,97,Writing (Adapted Screenplay),Screenplay by RaMell Ross & Joslyn Barnes,,,,,,Nickel Boys,False,,
2024,97,Writing (Adapted Screenplay),"Screenplay by Clint Bentley, Greg Kwedar; Story by Clint Bentley, Greg Kwedar, Clarence Maclin, John ""Divine G"" Whitfield",,,,,,Sing Sing,False,,
2024,97,Writing (Original Screenplay),Written by Sean Baker,,,,,,Anora,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=097-23&amp;qn=AAspeeches
2024,97,Writing (Original Screenplay),"Written by Brady Corbet, Mona Fastvold",,,,,,The Brutalist,False,,
2024,97,Writing (Original Screenplay),Written by Jesse Eisenberg,,,,,,A Real Pain,False,,
2024,97,Writing (Original Screenplay),"Written by Moritz Binder, Tim Fehlbaum; Co-Written by Alex David",,,,,,September 5,False,,
2024,97,Writing (Original Screenplay),Written by Coralie Fargeat,,,,,,The Substance,False,,
2023,96,Actor In A Leading Role,Bradley Cooper,,Leonard Bernstein,,,,Maestro,False,,
2023,96,Actor In A Leading Role,Colman Domingo,,Bayard Rustin,,,,Rustin,False,,
2023,96,Actor In A Leading Role,Paul Giamatti,,Paul Hunham,,,,The Holdovers,False,,
2023,96,Actor In A Leading Role,Cillian Murphy,,J. Robert Oppenheimer,,,,Oppenheimer,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=096-1&amp;qn=AAspeeches
2023,96,Actor In A Leading Role,Jeffrey Wright,,Thelonious ‘Monk’ Ellison,,,,American Fiction,False,,
2023,96,Actor In A Supporting Role,Sterling K. Brown,,Clifford Ellison,,,,American Fiction,False,,
2023,96,Actor In A Supporting Role,Robert De Niro,,William Hale,,,,Killers of the Flower Moon,False,,
2023,96,Actor In A Supporting Role,Robert Downey Jr.,,Lewis Strauss,,,,Oppenheimer,True,,http://aaspeechesdb.oscars.org/ics-wpd/url.ashx?id=096-2&amp;qn=AAspeeches
2023,96,Actor In A Supporting Role,Ryan Gosling,,Ken,,,,Barbie,False,,
2023,96,Actor In A Supporting Role,Mark Ruffalo,,Duncan Wedderburn,,,,Poor Things,False,,
2023,96,Actress In A Leading Role,Annette Bening,,Diana Nyad,,,,Nyad,False,,
2023,96,Actress In A Leading Role,Lily Gladstone,,Mollie Burkhart,,,,Killers of the Flower Moon,False,,
