title,name,age,height,elected_in,place_of_residence,result,ethnicity,hair_color,year,country,competition
 Miss Albigeois,Karine Lherm,19,171,Lisle-sur-Tarn,Cestayrols,,W,D,2000,France,Miss France
 Miss Alsace,Barbara Fink,20,178,Brumath,Brumath,SF,W,D,2000,France,Miss France
 Miss Anjou,Laureen Bidi,19,180,Vern-d'Anjou,Cholet,,W,D,2000,France,Miss France
 Miss Aquitaine,Sonia Benlloch,19,177,Castillon-la-Bataille,Port-Sainte-Mari,,W,D,2000,France,Miss France
 Miss Artois-Hainaut,Sophie Andry,20,180,Valenciennes,Béthune,,W,D,2000,France,Miss France
 Miss Auvergne,Lætitia Lautrette,22,176,Néris-les-Bains,Dompierre-sur-Besbre,,W,D,2000,France,Miss France
 Miss Berry,Anne Duponchel,19,175,Déols	Bourges,,,W,D,2000,France,Miss France
 Miss Bourgogne,Sonia Rolland,18,178,Chalon-sur-Saône,Cluny,,W,D,2000,France,Miss France
 Miss Bretagne,Florence Guillou,19,177,Plouhinec,Saint-Brieuc,SF,W,D,2000,France,Miss France
 Miss Calédonie,Audrey Brahim,18,178,Nouméa,,,W,D,2000,France,Miss France
 Miss Camargue,Audrey Marbouty,18,175,Vergèze,,,W,D,2000,France,Miss France
 Miss Cévennes,Sabrina Dubois,18,181,Pont-Saint-Esprit,Anduze,SF,W,D,2000,France,Miss France
 Miss Champagne-Ardenne,Candice Labbé,18,171,Aÿ-Champagne,Reims,,W,D,2000,France,Miss France
 Miss Comminges,Lucie Portet,19,184,Montréjeau,Lavelanet-de-Comminges,,W,D,2000,France,Miss France
 Miss Corse, Karine Colonna,18,177,Porticcio,Castirla,5RU,W,D,2000,France,Miss France
 Miss Côte d'Azur,Olivia Elhoussine,19,173,Le Cannet,La Colle-sur-Loup,,W,D,2000,France,Miss France
 Miss Flandre,Aurélie Pochet,19,176,Dunkerque,Auchy-les-Mines,,W,D,2000,France,Miss France
 Miss Franche-Comté,Mélanie Ott,19,173,Morvillars,Rigny,,W,D,2000,France,Miss France
 Miss Gascogne,Julie Vieira,19,171,Dax,Mont-de-Marsan,,W,D,2000,France,Miss France
 Miss Guadeloupe,Sylvie Albina,18,176,Basse-Terre,Basse-Terre,,W,D,2000,France,Miss France
 Miss Guyane,Sylvia Montoute,18,174,Cayenne,,,W,D,2000,France,Miss France
 Miss Île-de-France,Sophie Garcia,23,179,Le Chesnay,,,W,D,2000,France,Miss France
 Miss Languedoc,Carine Balestié,18,172,Carnon,Lattes,,W,D,2000,France,Miss France
 Miss Loire-Forez,Stéphanie Gros,23,181,Saint-Galmier,Saint-Maurice-en-Gourgois,,W,D,2000,France,Miss France
 Miss Lorraine,Audrey Christophe,19,172,Longlaville,,,W,D,2000,France,Miss France
 Miss Lyon,Daphnée Delarche,19,174,Lyon,Lyon,SF,W,D,2000,France,Miss France
 Miss Marche Limousin,Lucie Magnonneau,20,175,Saillat-sur-Vienne,,,W,D,2000,France,Miss France
 Miss Martinique,Axelle Negouai-Isaac,20,173,Fort-de-France,,,W,D,2000,France,Miss France
 Miss Midi-Pyrénées,Sophie De Sousa,18,177,Toulouse,Tournefeuille,,W,D,2000,France,Miss France
 Miss Normandie,Lydie Enguehard,22,178,Fécamp,Honfleur,,W,D,2000,France,Miss France
 Miss Orléanais,Hélène Schott-Simonin,18,177,Montargis,Meung-sur-Loire,,W,D,2000,France,Miss France
 Miss Paris,Céline Lambert,22,173,Paris,Paris,SF,W,D,2000,France,Miss France
 Miss Pays de l'Ain,Alexia Darnis,20,172,Ceyzériat,,,W,D,2000,France,Miss France
 Miss Pays de Loire,Maud Garnier,23,183,La Ferté-Bernard,Nantes,6RU,W,D,2000,France,Miss France
 Miss Pays de Savoie,Nathalie Jacquier,21,173,Sevrier,Douvaine,,W,D,2000,France,Miss France
 Miss Pays du Velay,Maryline Brun,20,178,Monistrol-sur-Loire,Arsac-en-Velay,2RU,W,D,2000,France,Miss France
 Miss Périgord,Stéphanie Lopéra,21,170,Bergerac,Périgueux,,W,D,2000,France,Miss France
 Miss Picardie,Shirley Dubreuil,18,175,Saint-Quentin,Belleu,,W,D,2000,France,Miss France
 Miss Poitou-Charentes,Sabrina Chauvelin,19,175,Jarnac,,,W,D,2000,France,Miss France
 Miss Provence,Tatiana Bouguer,22,171,Le Lavandou,Bormes-les-Mimosas,1RU,W,D,2000,France,Miss France
 Miss Réunion,Élodie Surray,19,176,Saint-Denis,La Possession,4RU,W,D,2000,France,Miss France
 Miss Rhône-Alpes,Ariane Quatrefages,22,172,Porcieu-Amblagnieu,Villette-d'Anthoe,3RU,W,D,2000,France,Miss France
 Miss Touraine-Sologne,Karine Bouvier,23,184,Romorantin-Lanthenay,,,W,D,2000,France,Miss France
