"country","name","age","elected_in",year,competition,result
"Angola","Adalgisa Gonçalves","21","Luanda",2001,Miss World,
"Antigua and Barbuda","Janelle Williams","23","Saint John",2001,Miss World,
"Argentina","Virginia di Salvo","22",Rosario,2001,Miss World,
"Aruba","Zizi Lee","19","Oranjestad",2001,Miss World,1RU
"Australia"," Eva Milic","23","Gold Coast",2001,Miss World,
"Austria","Daniela Rockenschaub","23","Wels",2001,Miss World,
"Bangladesh","Tabassum Ferdous Shaon","18","Dhaka",2001,Miss World,
"Barbados","Stephanie Chase","22","Bridgetown",2001,Miss World,
"Belgium","Puurs","22","Dina Tersago",2001,Miss World,
"Bolivia","Claudia Ettmüller","19","Santa Cruz de la Sierra",2001,Miss World,
"Bosnia and Herzegovina","Ana Mirjana Račanović","18","Bijeljina",2001,Miss World,
"Botswana","Masego Sebedi","22","Gaborone",2001,Miss World,
"Brazil","Joyce Aguiar","18","Votuporanga",2001,Miss World,
"British Virgin Islands","Melinda McGlore","23","Road Town",2001,Miss World,
"Bulgaria","Stanislava Karabelova","23","Sofia",2001,Miss World,
"Canada","Tara Hall","21","Toronto",2001,Miss World,
"Cayman Islands","Shannon McLean","24","George Town",2001,Miss World,
"Chile","Christianne Balmelli","22","Temuco",2001,Miss World,
"China","Bing Li","18","Sanya",2001,Miss World,3RU
"Colombia","Jeisyl Vélez","20","Caldas",2001,Miss World,
"Costa Rica","Piarella Peralta","20","San José",2001,Miss World,
"Croatia","Rajna Raguž","17","Drenovci",2001,Miss World,
"Cyprus","Christiana Aristotelous","18","Nicosia",2001,Miss World,
"Czech Republic","Andrea Fišerová","19","Litoměřice",2001,Miss World,
"Dominican Republic","Jeimy Castillo","23","Santo Domingo",2001,Miss World,
"Ecuador","Carla Lorena Revelo","19","Quito",2001,Miss World,
"England","Sally Kettle","21","Leicester",2001,Miss World,
"Estonia","Liina Helstein","23","Tartu",2001,Miss World,
"Finland",Jenni Dahlman,"21","Turku",2001,Miss World,
"France","Emmanuelle Chossat","22","Bourg-en-Bresse",2001,Miss World,
"French Polynesia","Ravanui Terriitaumihau","19","Papeete",2001,Miss World,
"Germany","Adina Wilhelmi","21","Wolfach",2001,Miss World,
"Ghana","Selasi Kwawu","20","Accra",2001,Miss World,
"Gibraltar","Luann Richardson","18","Gibraltar",2001,Miss World,
"Greece","Valentini Daskaloudi","22","Athens",2001,Miss World,
"Guyana","Olive Gopaul","22","Georgetown",2001,Miss World,
"Hawaii","Radasha Hoohuli","21","Honolulu",2001,Miss World,
"Holland","Rotterdam","22","Irena Pantelic",2001,Miss World,
"Hong Kong","Pui Chi Chung","19","Hong Kong",2001,Miss World,
"Hungary","Zsoka Kapocs","22","Budapest",2001,Miss World,
"Iceland","Kolbrún Helgadóttir","21","Reykjavík",2001,Miss World,
