title,name,age,height,elected_in,place_of_residence,result,ethnicity,hair_color,year,country,competition,municipality,municipality_gps,birth_year,elected_in_wikidata
 Miss Albigeois,Karine Lherm,19,171,Lisle-sur-Tarn,Cestayrols,,W,D,2000,France,Miss France,,,1981,
 Miss Alsace,Barbara Fink,20,178,Brumath,Brumath,SF,W,D,2000,France,Miss France,brumath,"48.7204656106,7.71740193625",1980,
 Miss Anjou,Laureen Bidi,19,180,Vern-d'Anjou,Cholet,,W,D,2000,France,Miss France,,,1981,
 Miss Aquitaine,Sonia Benlloch,19,177,Castillon-la-Bataille,Port-Sainte-Mari,,W,D,2000,France,Miss France,,,1981,
 Miss Artois-Hainaut,Sophie Andry,20,180,Valenciennes,Béthune,,W,D,2000,France,Miss France,valenciennes,"50.3588666163,3.51567664819",1980,
 Miss Auvergne,Lætitia Lautrette,22,176,Néris-les-Bains,Dompierre-sur-Besbre,,W,D,2000,France,Miss France,,,1978,
 Miss Berry,Anne Duponchel,19,175,Déols	Bourges,,,W,D,2000,France,Miss France,,,1981,
 Miss Bourgogne,Sonia Rolland,18,178,Chalon-sur-Saône,Cluny,,W,D,2000,France,Miss France,,,1982,
 Miss Bretagne,Florence Guillou,19,177,Plouhinec,Saint-Brieuc,SF,W,D,2000,France,Miss France,plouhinec,"47.6929109171,-3.23358959435",1981,
 Miss Calédonie,Audrey Brahim,18,178,Nouméa,,,W,D,2000,France,Miss France,,,1982,
 Miss Camargue,Audrey Marbouty,18,175,Vergèze,,,W,D,2000,France,Miss France,,,1982,
 Miss Cévennes,Sabrina Dubois,18,181,Pont-Saint-Esprit,Anduze,SF,W,D,2000,France,Miss France,,,1982,
 Miss Champagne-Ardenne,Candice Labbé,18,171,Aÿ-Champagne,Reims,,W,D,2000,France,Miss France,,,1982,
 Miss Comminges,Lucie Portet,19,184,Montréjeau,Lavelanet-de-Comminges,,W,D,2000,France,Miss France,,,1981,
 Miss Corse, Karine Colonna,18,177,Porticcio,Castirla,5RU,W,D,2000,France,Miss France,,,1982,
 Miss Côte d'Azur,Olivia Elhoussine,19,173,Le Cannet,La Colle-sur-Loup,,W,D,2000,France,Miss France,le cannet,"43.5729768613,7.00642057758",1981,
 Miss Flandre,Aurélie Pochet,19,176,Dunkerque,Auchy-les-Mines,,W,D,2000,France,Miss France,dunkerque,"51.0307229078,2.33752414095",1981,
 Miss Franche-Comté,Mélanie Ott,19,173,Morvillars,Rigny,,W,D,2000,France,Miss France,morvillars,"47.5429192415,6.93785518461",1981,
 Miss Gascogne,Julie Vieira,19,171,Dax,Mont-de-Marsan,,W,D,2000,France,Miss France,dax,"43.7006746973,-1.06014429759",1981,
 Miss Guadeloupe,Sylvie Albina,18,176,Basse-Terre,Basse-Terre,,W,D,2000,France,Miss France,,,1982,
 Miss Guyane,Sylvia Montoute,18,174,Cayenne,,,W,D,2000,France,Miss France,cayenne,"5.02173742828,-52.5012511113",1982,
 Miss Île-de-France,Sophie Garcia,23,179,Le Chesnay,,,W,D,2000,France,Miss France,,,1977,
 Miss Languedoc,Carine Balestié,18,172,Carnon,Lattes,,W,D,2000,France,Miss France,,,1982,
 Miss Loire-Forez,Stéphanie Gros,23,181,Saint-Galmier,Saint-Maurice-en-Gourgois,,W,D,2000,France,Miss France,,,1977,
 Miss Lorraine,Audrey Christophe,19,172,Longlaville,,,W,D,2000,France,Miss France,longlaville,"49.533561598,5.80230527944",1981,
 Miss Lyon,Daphnée Delarche,19,174,Lyon,Lyon,SF,W,D,2000,France,Miss France,,,1981,
 Miss Marche Limousin,Lucie Magnonneau,20,175,Saillat-sur-Vienne,,,W,D,2000,France,Miss France,,,1980,
 Miss Martinique,Axelle Negouai-Isaac,20,173,Fort-de-France,,,W,D,2000,France,Miss France,,,1980,
 Miss Midi-Pyrénées,Sophie De Sousa,18,177,Toulouse,Tournefeuille,,W,D,2000,France,Miss France,toulouse,"43.5963814303,1.43167293364",1982,
 Miss Normandie,Lydie Enguehard,22,178,Fécamp,Honfleur,,W,D,2000,France,Miss France,,,1978,
 Miss Orléanais,Hélène Schott-Simonin,18,177,Montargis,Meung-sur-Loire,,W,D,2000,France,Miss France,montargis,"47.9988427684,2.73588922015",1982,
 Miss Paris,Céline Lambert,22,173,Paris,Paris,SF,W,D,2000,France,Miss France,,,1978,
 Miss Pays de l'Ain,Alexia Darnis,20,172,Ceyzériat,,,W,D,2000,France,Miss France,,,1980,
