id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,custom_title,alt_titles,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type
1,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,POL,,FR,FRA,250,150,,Europe,Western Europe,FRA,114.0,2000.0,3266702.0,128M/128Q/64D,Roland Garros,,Maja Chwalinska,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/pol.svg,Finals,W,"6-3, 6-2",https://www.wtatennis.com/players/325639/maja-chwalinska,False,False,False,False,False,False,False,2,True,17,12,5,PL,POL,616,150,Europe,Central Europe,POL,"6,3,None|6,2,None",
2,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,UKR,,FR,FRA,250,150,,Europe,Western Europe,FRA,15.0,2000.0,3266702.0,128M/128Q/64D,Roland Garros,,Marta Kostyuk,15.0,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/ukr.svg,Semifinals,W,"6-1, 6-3",https://www.wtatennis.com/players/326482/marta-kostyuk,False,False,False,False,False,False,False,2,True,16,12,4,UA,UKR,804,150,Europe,Eastern Europe,UKR,"6,1,None|6,3,None",
3,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,ROU,,FR,FRA,250,150,,Europe,Western Europe,FRA,18.0,2000.0,3266702.0,128M/128Q/64D,Roland Garros,,Sorana Cirstea,18.0,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/rou.svg,Quarterfinals,W,"6-0, 6-3",https://www.wtatennis.com/players/312469/sorana-cirstea,False,False,False,False,False,False,False,2,True,15,12,3,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"6,0,None|6,3,None",
4,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,SUI,,FR,FRA,250,150,,Europe,Western Europe,FRA,170.0,2000.0,3266702.0,128M/128Q/64D,Roland Garros,,Jil Teichmann,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/sui.svg,Round of 16,W,"6-3, 6-2",https://www.wtatennis.com/players/320926/jil-teichmann,False,False,False,False,False,False,False,2,True,17,12,5,CH,CHE,756,150,Europe,Central Europe,SUI,"6,3,None|6,2,None",
5,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,CZE,,FR,FRA,250,150,,Europe,Western Europe,FRA,28.0,2000.0,3266702.0,128M/128Q/64D,Roland Garros,,Marie Bouzkova,27.0,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/cze.svg,Round of 32,W,"6-4, 6-2",https://www.wtatennis.com/players/320983/marie-bouzkova,False,False,False,False,False,False,False,2,True,18,12,6,CZ,CZE,203,150,Europe,Central Europe,CZE,"6,4,None|6,2,None",
6,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,ESP,,FR,FRA,250,150,Kingdom of Spain,Europe,Western Europe,FRA,175.0,2000.0,3266702.0,128M/128Q/64D,Roland Garros,,Marina Bassols Ribera,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/esp.svg,Round of 64,W,"3-6, 6-1, 6-1",https://www.wtatennis.com/players/324128/marina-bassols-ribera,False,False,False,False,False,False,False,3,False,23,15,8,ES,ESP,724,150,Europe,Southern Europe,ESP,"3,6,None|6,1,None|6,1,None",
7,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,FRA,,FR,FRA,250,150,,Europe,Western Europe,FRA,181.0,2000.0,3266702.0,128M/128Q/64D,Roland Garros,,Fiona Ferro,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/fra.svg,Round of 128,W,"6-3, 6-3",https://www.wtatennis.com/players/319969/fiona-ferro,False,False,False,False,False,False,False,2,True,18,12,6,FR,FRA,250,150,Europe,Western Europe,FRA,"6,3,None|6,3,None",
1,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,USA,,IT,ITA,380,150,United States of America|America|USA|US,Europe,Southern Europe,ITA,4.0,215.0,154210.0,128M/48Q/32D,Internazionali Bnl D'Italia,,Coco Gauff,3.0,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/usa.svg,Quarterfinals,L,"6-4, 2-6, 4-6",https://www.wtatennis.com/players/328560/coco-gauff,False,False,False,False,False,False,False,3,True,28,12,16,US,USA,840,019,America,Northern America,USA,"6,4,None|2,6,None|4,6,None",
2,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,BEL,,IT,ITA,380,150,,Europe,Southern Europe,ITA,22.0,215.0,154210.0,128M/48Q/32D,Internazionali Bnl D'Italia,,Elise Mertens,21.0,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/bel.svg,Round of 16,W,"6-3, 6-3",https://www.wtatennis.com/players/317964/elise-mertens,False,False,False,False,False,False,False,2,True,18,12,6,BE,BEL,056,150,Europe,Western Europe,BEL,"6,3,None|6,3,None",
3,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,SUI,,IT,ITA,380,150,,Europe,Southern Europe,ITA,90.0,215.0,154210.0,128M/48Q/32D,Internazionali Bnl D'Italia,,Viktorija Golubic,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/sui.svg,Round of 32,W,"6-1, 4-6, 6-0",https://www.wtatennis.com/players/316296/viktorija-golubic,False,False,False,False,False,False,False,3,True,23,16,7,CH,CHE,756,150,Europe,Central Europe,SUI,"6,1,None|4,6,None|6,0,None",
