id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,entry_type,points_gain,prize_money,draw,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score
1,Omnium Banque Nationale présenté par Rogers ,https://photoresources.wtatennis.com/photo-resources/2026/04/16/12d4c93e-8e56-4d81-ac72-ea0d1498127e/WTA-Tournament_Canada-English-2021.png?height=128,https://www.wtatennis.com/tournaments/806/montreal/2025,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2025-07-27,2025-08-07,2025,7,Montreal,SUI,,CA,CAN,124,019,[],America,Northern America,CAN,20.0,W,35.0,19705.0,128M/32Q/32D,Belinda Bencic,17.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/sui.svg,Round of 64,L,"2-6, 6-3, 4-6",https://www.wtatennis.com/players/319001/belinda-bencic,False,False,False,False,False,False,False,3,False,27,12,15,CH,CHE,756,150,Europe,Central Europe,SUI,"2,6,None|6,3,None|4,6,None"
2,Omnium Banque Nationale présenté par Rogers ,https://photoresources.wtatennis.com/photo-resources/2026/04/16/12d4c93e-8e56-4d81-ac72-ea0d1498127e/WTA-Tournament_Canada-English-2021.png?height=128,https://www.wtatennis.com/tournaments/806/montreal/2025,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2025-07-27,2025-08-07,2025,7,Montreal,COL,,CA,CAN,124,019,[],America,Northern America,CAN,82.0,W,35.0,19705.0,128M/32Q/32D,Emiliana Arango,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/col.svg,Round of 128,W,"6-4, 2-6, 6-2",https://www.wtatennis.com/players/324789/emiliana-arango,False,False,False,False,False,False,False,3,True,26,14,12,CO,COL,170,019,America,Northern South America,COL,"6,4,None|2,6,None|6,2,None"
1,Hall of Fame Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/acd36489-076d-4eb0-9221-04c62f96df43/WTA-Tournament_Newport-2025.png?height=128,https://www.wtatennis.com/tournaments/1123/newport-125/2025,WTA 125,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/125k-tag.svg,2025-07-07,2025-07-13,2025,7,,USA,,,,,,"['America', 'USA', 'US']",,,United States of America,268.0,W,,2475.0,32M/8Q/16D,Anna Rogers,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Round of 32,L,"5-7, 2-6",https://www.wtatennis.com/players/328647/anna-rogers,False,False,False,False,False,False,False,2,False,20,7,13,US,USA,840,019,America,Northern America,USA,"5,7,None|2,6,None"
1,National Bank Open presented by Rogers,,https://www.wtatennis.com/tournaments/806/montreal/2024,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2024-08-06,2024-08-12,2024,8,Toronto,JPN,,CA,CAN,124,019,[],America,Northern America,CAN,63.0,W,2.0,4610.0,64M/32Q/32D,Moyuka Uchijima,2.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/jpn.svg,Qualifying R1 Qual. R1,L,"7-5, 5-7, 4-6",https://www.wtatennis.com/players/327241/moyuka-uchijima,False,False,False,False,False,False,False,3,True,34,16,18,JP,JPN,392,142,Asia,East Asia,JPN,"7,5,None|5,7,None|4,6,None"
1,ITF/USTA W75,https://www.wtatennis.com/resources/v7.42.0/i/elements/itf.png,,ITF,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/itf.png,2024-05-06,2024-05-12,2024,5,Zephyrhills,USA,,,,,,"['America', 'USA', 'US']",,,Florida,96.0,W,,1543.0,32M/32Q/16D,Kayla Day,1.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Quarterfinals,L,"7-64, 5-7",https://www.wtatennis.com/players/322534/kayla-day,True,False,False,True,False,False,True,2,True,83,12,71,US,USA,840,019,America,Northern America,USA,"7,64,None|5,7,None|Ret"
2,ITF/USTA W75,https://www.wtatennis.com/resources/v7.42.0/i/elements/itf.png,,ITF,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/itf.png,2024-05-06,2024-05-12,2024,5,Zephyrhills,HUN,,,,,,[],,,Florida,265.0,W,,1543.0,32M/32Q/16D,Fanny Stollar,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/hun.svg,Round of 16,W,"6-1, 2-6, 6-4",https://www.wtatennis.com/players/323231/fanny-stollar,False,False,False,False,False,False,False,3,True,25,14,11,HU,HUN,348,150,Europe,Central Europe,HUN,"6,1,None|2,6,None|6,4,None"
3,ITF/USTA W75,https://www.wtatennis.com/resources/v7.42.0/i/elements/itf.png,,ITF,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/itf.png,2024-05-06,2024-05-12,2024,5,Zephyrhills,LTU,,,,,,[],,,Florida,224.0,W,,1543.0,32M/32Q/16D,Justina Mikulskyte,6.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ltu.svg,Round of 32,W,"6-1, 6-2",https://www.wtatennis.com/players/323677/justina-mikulskyte,False,False,False,False,False,False,False,2,True,15,12,3,LT,LTU,440,150,Europe,Northern Europe,LTU,"6,1,None|6,2,None"
1,Guadalajara Open AKRON Presented by SANTANDER,,https://www.wtatennis.com/tournaments/2075/guadalajara-500/2023,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2023-09-17,2023-09-23,2023,9,Guadalajara,RUS,,MX,MEX,484,019,[],America,Central America,MEX,19.0,W,60.0,17930.0,64M/32Q/32D,Veronika Kudermetova,7.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,Round of 32,L,"2-6, 7-6 (4), 4-6",https://www.wtatennis.com/players/319526/veronika-kudermetova,False,False,False,False,True,False,True,3,False,31,13,18,RU,RUS,643,150,Europe,Eastern Europe,RUS,"2,6,None|7,6,4|4,6,None"
2,Guadalajara Open AKRON Presented by SANTANDER,,https://www.wtatennis.com/tournaments/2075/guadalajara-500/2023,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2023-09-17,2023-09-23,2023,9,Guadalajara,MEX,,MX,MEX,484,019,"['United States of Mexico', 'United Mexican States']",America,Central America,MEX,181.0,W,60.0,17930.0,64M/32Q/32D,Renata Zarazua,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/mex.svg,Round of 64,W,"6-1, 7-6 (4)",https://www.wtatennis.com/players/320716/renata-zarazua,False,False,False,False,True,False,True,2,True,20,13,7,MX,MEX,484,019,America,Central America,MEX,"6,1,None|7,6,4"
1,US Open,,https://www.wtatennis.com/tournaments/905/us-open/2023,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2023-08-28,2023-09-10,2023,8,New York,UKR,NY,,,,,[],,,United States of America,110.0,,20.0,34500.0,128M/128Q/64D,Dayana Yastremska,12.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ukr.svg,Qualifying R2 Qual. R2,L,"1-6, 6-4, 4-6",https://www.wtatennis.com/players/324261/dayana-yastremska,False,False,False,False,False,False,False,3,False,27,11,16,UA,UKR,804,150,Europe,Eastern Europe,UKR,"1,6,None|6,4,None|4,6,None"
