id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,custom_title,alt_titles,tour_total_games,tour_total_matches,tour_avg_games,tour_sets_played,tour_avg_sets_played,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,win_loss_numeric,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type,wild_card_entry
1,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,UKR,,IT,ITA,380,150,,Europe,Southern Europe,ITA,10.0,650.0,564920.0,128M/48Q/32D,Internazionali Bnl D'Italia,,157,6,26.166666666666668,16,2.6666666666666665,Elina Svitolina,7.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ukr.svg,F,L,"4-6, 7-6 (3), 2-6",https://www.wtatennis.com/players/316738/elina-svitolina,False,False,False,False,True,False,True,3,False,31,13,18,0,UA,UKR,804,150,Europe,Eastern Europe,UKR,"4,6,None|7,6,3|2,6,None",,
2,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,ROU,,IT,ITA,380,150,,Europe,Southern Europe,ITA,27.0,650.0,564920.0,128M/48Q/32D,Internazionali Bnl D'Italia,,157,6,26.166666666666668,16,2.6666666666666665,Sorana Cirstea,26.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rou.svg,SF,W,"6-4, 6-3",https://www.wtatennis.com/players/312469/sorana-cirstea,False,False,False,False,False,False,False,2,True,19,12,7,1,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"6,4,None|6,3,None",,
3,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,RUS,,IT,ITA,380,150,,Europe,Southern Europe,ITA,7.0,650.0,564920.0,128M/48Q/32D,Internazionali Bnl D'Italia,,157,6,26.166666666666668,16,2.6666666666666665,Mirra Andreeva,8.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,QF,W,"4-6, 6-2, 6-4",https://www.wtatennis.com/players/331809/mirra-andreeva,False,False,False,False,False,False,False,3,False,28,16,12,1,RU,RUS,643,150,Europe,Eastern Europe,RUS,"4,6,None|6,2,None|6,4,None",,
4,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,USA,,IT,ITA,380,150,United States of America|America|USA|US,Europe,Southern Europe,ITA,17.0,650.0,564920.0,128M/48Q/32D,Internazionali Bnl D'Italia,,157,6,26.166666666666668,16,2.6666666666666665,Iva Jovic,16.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,R16,W,"5-7, 7-5, 6-2",https://www.wtatennis.com/players/332285/iva-jovic,False,False,False,False,False,False,False,3,False,32,18,14,1,US,USA,840,019,America,Northern America,USA,"5,7,None|7,5,None|6,2,None",,
5,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,ARG,,IT,ITA,380,150,,Europe,Southern Europe,ITA,72.0,650.0,564920.0,128M/48Q/32D,Internazionali Bnl D'Italia,,157,6,26.166666666666668,16,2.6666666666666665,Solana Sierra,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/arg.svg,R32,W,"5-7, 6-0, 6-4",https://www.wtatennis.com/players/329081/solana-sierra,False,False,False,False,False,False,False,3,False,28,17,11,1,AR,ARG,032,019,America,Southern South America,ARG,"5,7,None|6,0,None|6,4,None",,
6,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,CZE,,IT,ITA,380,150,,Europe,Southern Europe,ITA,48.0,650.0,564920.0,128M/48Q/32D,Internazionali Bnl D'Italia,,157,6,26.166666666666668,16,2.6666666666666665,Tereza Valentova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cze.svg,R64,W,"6-3, 6-4",https://www.wtatennis.com/players/330808/tereza-valentova,False,False,False,False,False,False,False,2,True,19,12,7,1,CZ,CZE,203,150,Europe,Central Europe,CZE,"6,3,None|6,4,None",,
7,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,,,IT,ITA,380,150,,Europe,Southern Europe,ITA,,650.0,564920.0,128M/48Q/32D,Internazionali Bnl D'Italia,,157,6,26.166666666666668,16,2.6666666666666665,,,,R128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,0,,,,,,,,,,
1,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,CZE,,ES,ESP,724,150,,Europe,Southern Europe,ESP,13.0,120.0,92470.0,128M/48Q/32D,Mutua Madrid Open,,74,3,24.666666666666668,8,2.6666666666666665,Linda Noskova,13.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cze.svg,R16,L,"4-6, 6-1, 6-7 (5)",https://www.wtatennis.com/players/329668/linda-noskova,False,False,False,False,False,True,True,3,False,30,16,14,0,CZ,CZE,203,150,Europe,Central Europe,CZE,"4,6,None|6,1,None|6,7,5",,
2,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,ROU,,ES,ESP,724,150,,Europe,Southern Europe,ESP,26.0,120.0,92470.0,128M/48Q/32D,Mutua Madrid Open,,74,3,24.666666666666668,8,2.6666666666666665,Sorana Cirstea,25.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rou.svg,R32,W,"4-6, 7-5, 6-1",https://www.wtatennis.com/players/312469/sorana-cirstea,False,False,False,False,False,False,False,3,False,29,17,12,1,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"4,6,None|7,5,None|6,1,None",,
3,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,FRA,,ES,ESP,724,150,,Europe,Southern Europe,ESP,126.0,120.0,92470.0,128M/48Q/32D,Mutua Madrid Open,,74,3,24.666666666666668,8,2.6666666666666665,Leolia Jeanjean,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/fra.svg,R64,W,"6-3, 6-0",https://www.wtatennis.com/players/320313/leolia-jeanjean,False,False,False,False,False,False,False,2,True,15,12,3,1,FR,FRA,250,150,Europe,Western Europe,FRA,"6,3,None|6,0,None",,
4,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,,,ES,ESP,724,150,,Europe,Southern Europe,ESP,,120.0,92470.0,128M/48Q/32D,Mutua Madrid Open,,74,3,24.666666666666668,8,2.6666666666666665,,,,R128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,0,,,,,,,,,,
1,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,CZE,,DE,DEU,276,150,,Europe,Central Europe,GER,12.0,108.0,35000.0,32M/16Q/16D,Porsche Tennis Grand Prix,,49,2,24.5,5,2.5,Karolina Muchova,7.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cze.svg,QF,L,"3-6, 7-5, 3-6",https://www.wtatennis.com/players/322191/karolina-muchova,False,False,False,False,False,False,False,3,False,30,13,17,0,CZ,CZE,203,150,Europe,Central Europe,CZE,"3,6,None|7,5,None|3,6,None",,
2,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,RUS,,DE,DEU,276,150,,Europe,Central Europe,GER,21.0,108.0,35000.0,32M/16Q/16D,Porsche Tennis Grand Prix,,49,2,24.5,5,2.5,Liudmila Samsonova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,R16,W,"7-5, 6-1",https://www.wtatennis.com/players/322222/liudmila-samsonova,False,False,False,False,False,False,False,2,True,19,13,6,1,RU,RUS,643,150,Europe,Eastern Europe,RUS,"7,5,None|6,1,None",,
3,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,,,DE,DEU,276,150,,Europe,Central Europe,GER,,108.0,35000.0,32M/16Q/16D,Porsche Tennis Grand Prix,,49,2,24.5,5,2.5,,,,R32,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,0,,,,,,,,,,
1,Miami Open Presented By Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,BLR,FL,US,USA,840,019,,America,Northern America,USA,1.0,650.0,612340.0,128M/48Q/32D,Miami Open Presented By Itaú,,143,6,23.833333333333332,17,2.8333333333333335,Aryna Sabalenka,1.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/blr.svg,F,L,"2-6, 6-4, 3-6",https://www.wtatennis.com/players/320760/aryna-sabalenka,False,False,False,False,False,False,False,3,False,27,11,16,0,BY,BLR,112,150,Europe,Eastern Europe,BLR,"2,6,None|6,4,None|3,6,None",,
2,Miami Open Presented By Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,CZE,FL,US,USA,840,019,,America,Northern America,USA,14.0,650.0,612340.0,128M/48Q/32D,Miami Open Presented By Itaú,,143,6,23.833333333333332,17,2.8333333333333335,Karolina Muchova,13.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cze.svg,SF,W,"6-1, 6-1",https://www.wtatennis.com/players/322191/karolina-muchova,False,False,False,False,False,False,False,2,True,14,12,2,1,CZ,CZE,203,150,Europe,Central Europe,CZE,"6,1,None|6,1,None",,
3,Miami Open Presented By Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,SUI,FL,US,USA,840,019,,America,Northern America,USA,12.0,650.0,612340.0,128M/48Q/32D,Miami Open Presented By Itaú,,143,6,23.833333333333332,17,2.8333333333333335,Belinda Bencic,12.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/sui.svg,QF,W,"6-3, 1-6, 6-3",https://www.wtatennis.com/players/319001/belinda-bencic,False,False,False,False,False,False,False,3,True,25,13,12,1,CH,CHE,756,150,Europe,Central Europe,SUI,"6,3,None|1,6,None|6,3,None",,
4,Miami Open Presented By Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,ROU,FL,US,USA,840,019,,America,Northern America,USA,35.0,650.0,612340.0,128M/48Q/32D,Miami Open Presented By Itaú,,143,6,23.833333333333332,17,2.8333333333333335,Sorana Cirstea,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rou.svg,R16,W,"6-4, 3-6, 6-2",https://www.wtatennis.com/players/312469/sorana-cirstea,False,False,False,False,False,False,False,3,True,27,15,12,1,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"6,4,None|3,6,None|6,2,None",,
5,Miami Open Presented By Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,USA,FL,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,105.0,650.0,612340.0,128M/48Q/32D,Miami Open Presented By Itaú,,143,6,23.833333333333332,17,2.8333333333333335,Alycia Parks,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,R32,W,"3-6, 6-0, 6-1",https://www.wtatennis.com/players/326007/alycia-parks,False,False,False,False,False,False,False,3,False,22,15,7,1,US,USA,840,019,America,Northern America,USA,"3,6,None|6,0,None|6,1,None",,
6,Miami Open Presented By Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,ITA,FL,US,USA,840,019,,America,Northern America,USA,44.0,650.0,612340.0,128M/48Q/32D,Miami Open Presented By Itaú,,143,6,23.833333333333332,17,2.8333333333333335,Elisabetta Cocciaretto,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ita.svg,R64,W,"3-6, 6-4, 6-3",https://www.wtatennis.com/players/327909/elisabetta-cocciaretto,False,False,False,False,False,False,False,3,False,28,15,13,1,IT,ITA,380,150,Europe,Southern Europe,ITA,"3,6,None|6,4,None|6,3,None",,
7,Miami Open Presented By Itaú,https://photoresources.wtatennis.com/photo-resources/2026/04/16/e0f2d5a2-cc05-4b2a-8377-f57edf6eaaa2/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-17,2026-03-29,2026,3,Miami,,FL,US,USA,840,019,,America,Northern America,USA,,650.0,612340.0,128M/48Q/32D,Miami Open Presented By Itaú,,143,6,23.833333333333332,17,2.8333333333333335,,,,R128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,0,,,,,,,,,,
