id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type
1,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,UKR,,IT,ITA,380,150,,Europe,Southern Europe,ITA,10.0,215.0,154210.0,128M/48Q/32D,Elina Svitolina,7.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ukr.svg,Quarterfinals,L,"6-2, 4-6, 2-4",https://www.wtatennis.com/players/316738/elina-svitolina,False,False,False,False,False,False,False,3,True,24,12,12,UA,UKR,804,150,Europe,Eastern Europe,UKR,"6,2,None|4,6,None|2,4,None",
2,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,CZE,,IT,ITA,380,150,,Europe,Southern Europe,ITA,130.0,215.0,154210.0,128M/48Q/32D,Karolina Pliskova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cze.svg,Round of 16,W,"6-0, 6-2",https://www.wtatennis.com/players/313974/karolina-pliskova,False,False,False,False,False,False,False,2,True,14,12,2,CZ,CZE,203,150,Europe,Central Europe,CZE,"6,0,None|6,2,None",
3,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,PHI,,IT,ITA,380,150,,Europe,Southern Europe,ITA,42.0,215.0,154210.0,128M/48Q/32D,Alexandra Eala,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/phi.svg,Round of 32,W,"6-4, 6-3",https://www.wtatennis.com/players/330332/alexandra-eala,False,False,False,False,False,False,False,2,True,19,12,7,PH,PHL,608,142,Asia,Southeast Asia,PHI,"6,4,None|6,3,None",
4,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,GRE,,IT,ITA,380,150,,Europe,Southern Europe,ITA,47.0,215.0,154210.0,128M/48Q/32D,Maria Sakkari,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/gre.svg,Round of 64,W,"6-4, 6-1",https://www.wtatennis.com/players/318312/maria-sakkari,False,False,False,False,False,False,False,2,True,17,12,5,GR,GRC,300,150,Europe,Southeastern Europe,GRE,"6,4,None|6,1,None",
5,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,,,IT,ITA,380,150,,Europe,Southern Europe,ITA,,215.0,154210.0,128M/48Q/32D,,,,Round of 128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,AUT,,ES,ESP,724,150,,Europe,Southern Europe,ESP,56.0,120.0,92470.0,128M/48Q/32D,Anastasia Potapova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/aut.svg,Round of 16,L,"6-7 (8), 4-6",https://www.wtatennis.com/players/325601/anastasia-potapova,False,False,False,True,False,False,True,2,False,23,10,13,AT,AUT,040,150,Europe,Central Europe,AUT,"6,7,8|4,6,None",
2,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,CHN,,ES,ESP,724,150,,Europe,Southern Europe,ESP,36.0,120.0,92470.0,128M/48Q/32D,Qinwen Zheng,32.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/chn.svg,Round of 32,W,"4-6, 6-4, 6-3",https://www.wtatennis.com/players/328120/qinwen-zheng,False,False,False,False,False,False,False,3,False,29,16,13,CN,CHN,156,142,Asia,East Asia,CHN,"4,6,None|6,4,None|6,3,None",
3,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,ROU,,ES,ESP,724,150,,Europe,Southern Europe,ESP,71.0,120.0,92470.0,128M/48Q/32D,Elena-Gabriela Ruse,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rou.svg,Round of 64,W,"4-6, 6-3, 7-5",https://www.wtatennis.com/players/320408/elena-gabriela-ruse,False,False,False,False,False,False,False,3,False,31,17,14,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"4,6,None|6,3,None|7,5,None",
4,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,,,ES,ESP,724,150,,Europe,Southern Europe,ESP,,120.0,92470.0,128M/48Q/32D,,,,Round of 128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,CZE,,DE,DEU,276,150,,Europe,Central Europe,GER,12.0,500.0,185500.0,32M/16Q/16D,Karolina Muchova,7.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cze.svg,Finals,W,"7-5, 6-1",https://www.wtatennis.com/players/322191/karolina-muchova,False,False,False,False,False,False,False,2,True,19,13,6,CZ,CZE,203,150,Europe,Central Europe,CZE,"7,5,None|6,1,None",
