id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,custom_title,alt_titles,tour_total_games,tour_total_matches,tour_avg_games,tour_sets_played,tour_avg_sets_played,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,win_loss_numeric,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type,wild_card_entry
1,Vanda Pharmaceuticals Berlin Tennis Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/261aa8e1-f293-4d18-ae37-655106d81407/2012_Berlin_2026.png?height=128,https://www.wtatennis.com/tournaments/2012/berlin/2026,WTA 500,Grass,https://www.wtatennis.com/resources/v7.46.6/i/elements/500k-tag.svg,2026-06-15,2026-06-21,2026,6,Berlin,USA,,DE,DEU,276,150,United States of America|America|USA|US,Europe,Central Europe,GER,4.0,195.0,66003.0,32M/24Q/16D,Vanda Pharmaceuticals Berlin Tennis Open,,80,3,26.666666666666668,8,2.6666666666666665,Jessica Pegula,3.0,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/usa.svg,SF,L,"4-6, 7-6 (4), 0-6",https://www.wtatennis.com/players/316956/jessica-pegula,False,False,False,False,True,False,True,3,False,29,11,18,0,US,USA,840,019,America,Northern America,USA,"4,6,None|7,6,4|0,6,None",,
2,Vanda Pharmaceuticals Berlin Tennis Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/261aa8e1-f293-4d18-ae37-655106d81407/2012_Berlin_2026.png?height=128,https://www.wtatennis.com/tournaments/2012/berlin/2026,WTA 500,Grass,https://www.wtatennis.com/resources/v7.46.6/i/elements/500k-tag.svg,2026-06-15,2026-06-21,2026,6,Berlin,CZE,,DE,DEU,276,150,,Europe,Central Europe,GER,62.0,195.0,66003.0,32M/24Q/16D,Vanda Pharmaceuticals Berlin Tennis Open,,80,3,26.666666666666668,8,2.6666666666666665,Nikola Bartunkova,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/cze.svg,QF,W,"2-6, 7-6 (2), 6-4",https://www.wtatennis.com/players/330364/nikola-bartunkova,False,False,False,False,True,False,True,3,False,31,15,16,1,CZ,CZE,203,150,Europe,Central Europe,CZE,"2,6,None|7,6,2|6,4,None",,
3,Vanda Pharmaceuticals Berlin Tennis Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/261aa8e1-f293-4d18-ae37-655106d81407/2012_Berlin_2026.png?height=128,https://www.wtatennis.com/tournaments/2012/berlin/2026,WTA 500,Grass,https://www.wtatennis.com/resources/v7.46.6/i/elements/500k-tag.svg,2026-06-15,2026-06-21,2026,6,Berlin,RUS,,DE,DEU,276,150,,Europe,Central Europe,GER,19.0,195.0,66003.0,32M/24Q/16D,Vanda Pharmaceuticals Berlin Tennis Open,,80,3,26.666666666666668,8,2.6666666666666665,Ekaterina Alexandrova,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/rus.svg,R16,W,"6-4, 6-4",https://www.wtatennis.com/players/319007/ekaterina-alexandrova,False,False,False,False,False,False,False,2,True,20,12,8,1,RU,RUS,643,150,Europe,Eastern Europe,RUS,"6,4,None|6,4,None",,
4,Vanda Pharmaceuticals Berlin Tennis Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/261aa8e1-f293-4d18-ae37-655106d81407/2012_Berlin_2026.png?height=128,https://www.wtatennis.com/tournaments/2012/berlin/2026,WTA 500,Grass,https://www.wtatennis.com/resources/v7.46.6/i/elements/500k-tag.svg,2026-06-15,2026-06-21,2026,6,Berlin,,,DE,DEU,276,150,,Europe,Central Europe,GER,,195.0,66003.0,32M/24Q/16D,Vanda Pharmaceuticals Berlin Tennis Open,,80,3,26.666666666666668,8,2.6666666666666665,,,,R32,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,0,,,,,,,,,,
1,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,RUS,,FR,FRA,250,150,,Europe,Western Europe,FRA,23.0,430.0,548339.0,128M/128Q/64D,Roland Garros,,104,5,20.8,11,2.2,Diana Shnaider,25.0,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/rus.svg,QF,L,"6-3, 5-7, 0-6",https://www.wtatennis.com/players/330482/diana-shnaider,False,False,False,False,False,False,False,3,True,27,11,16,0,RU,RUS,643,150,Europe,Eastern Europe,RUS,"6,3,None|5,7,None|0,6,None",,
2,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,JPN,,FR,FRA,250,150,,Europe,Western Europe,FRA,16.0,430.0,548339.0,128M/128Q/64D,Roland Garros,,104,5,20.8,11,2.2,Naomi Osaka,16.0,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/jpn.svg,R16,W,"7-5, 6-3",https://www.wtatennis.com/players/319998/naomi-osaka,False,False,False,False,False,False,False,2,True,21,13,8,1,JP,JPN,392,142,Asia,East Asia,JPN,"7,5,None|6,3,None",,
3,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,AUS,,FR,FRA,250,150,,Europe,Western Europe,FRA,53.0,430.0,548339.0,128M/128Q/64D,Roland Garros,,104,5,20.8,11,2.2,Daria Kasatkina,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/aus.svg,R32,W,"6-0, 7-5",https://www.wtatennis.com/players/322082/daria-kasatkina,False,False,False,False,False,False,False,2,True,18,13,5,1,AU,AUS,036,009,Oceania,Australasia,AUS,"6,0,None|7,5,None",,
4,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,FRA,,FR,FRA,250,150,,Europe,Western Europe,FRA,67.0,430.0,548339.0,128M/128Q/64D,Roland Garros,,104,5,20.8,11,2.2,Elsa Jacquemot,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/fra.svg,R64,W,"7-5, 6-2",https://www.wtatennis.com/players/328142/elsa-jacquemot,False,False,False,False,False,False,False,2,True,20,13,7,1,FR,FRA,250,150,Europe,Western Europe,FRA,"7,5,None|6,2,None",,
5,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/roland-garros,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/gs-tag.svg,2026-05-24,2026-06-07,2026,5,Paris,ESP,,FR,FRA,250,150,Kingdom of Spain,Europe,Western Europe,FRA,50.0,430.0,548339.0,128M/128Q/64D,Roland Garros,,104,5,20.8,11,2.2,Jessica Bouzas Maneiro,,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/esp.svg,R128,W,"6-4, 6-2",https://www.wtatennis.com/players/328139/jessica-bouzas-maneiro,False,False,False,False,False,False,False,2,True,18,12,6,1,ES,ESP,724,150,Europe,Southern Europe,ESP,"6,4,None|6,2,None",,
1,Internazionali Bnl D'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.46.6/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,ROU,,IT,ITA,380,150,,Europe,Southern Europe,ITA,27.0,65.0,47375.0,128M/48Q/32D,Internazionali Bnl D'Italia,,46,2,23.0,5,2.5,Sorana Cirstea,26.0,https://www.wtatennis.com/resources/v7.46.6/i/elements/flags/rou.svg,R32,L,"6-2, 3-6, 5-7",https://www.wtatennis.com/players/312469/sorana-cirstea,False,False,False,False,False,False,False,3,True,29,14,15,0,RO,ROU,642,150,Europe,Southeastern Europe,ROU,"6,2,None|3,6,None|5,7,None",,
