id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,custom_title,alt_titles,tour_total_games,tour_total_matches,tour_avg_games,tour_sets_played,tour_avg_sets_played,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,win_loss_numeric,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type,wild_card_entry
1,Us Open,,https://www.wtatennis.com/tournaments/905/us-open/2022,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2022-08-29,2022-09-11,2022,8,New York,AUS,NY,US,USA,840,019,,America,Northern America,USA,46.0,130.0,188000.0,128M/128Q/64D,Us Open,,79,3,26.333333333333332,8,2.6666666666666665,Ajla Tomljanovic,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/aus.svg,R32,L,"5-7, 7-6 (4), 1-6",https://www.wtatennis.com/players/315232/ajla-tomljanovic,False,False,False,False,True,False,True,3,False,32,13,19,0,AU,AUS,036,009,Oceania,Australasia,AUS,"5,7,None|7,6,4|1,6,None",,
2,Us Open,,https://www.wtatennis.com/tournaments/905/us-open/2022,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2022-08-29,2022-09-11,2022,8,New York,EST,NY,US,USA,840,019,,America,Northern America,USA,2.0,130.0,188000.0,128M/128Q/64D,Us Open,,79,3,26.333333333333332,8,2.6666666666666665,Anett Kontaveit,2.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/est.svg,R64,W,"7-6 (4), 2-6, 6-2",https://www.wtatennis.com/players/318425/anett-kontaveit,False,False,False,True,False,False,True,3,True,29,15,14,1,EE,EST,233,150,Europe,Northern Europe,EST,"7,6,4|2,6,None|6,2,None",,
3,Us Open,,https://www.wtatennis.com/tournaments/905/us-open/2022,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2022-08-29,2022-09-11,2022,8,New York,MNE,NY,US,USA,840,019,,America,Northern America,USA,80.0,130.0,188000.0,128M/128Q/64D,Us Open,,79,3,26.333333333333332,8,2.6666666666666665,Danka Kovinic,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/mne.svg,R128,W,"6-3, 6-3",https://www.wtatennis.com/players/317684/danka-kovinic,False,False,False,False,False,False,False,2,True,18,12,6,1,ME,MNE,499,150,Europe,Southeastern Europe,MNE,"6,3,None|6,3,None",,
1,Western & Southern Open,,https://www.wtatennis.com/tournaments/1017/cincinnati/2022,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2022-08-15,2022-08-21,2022,8,Cincinnati,GBR,OH,US,USA,840,019,Britain|UK|Great Britain|United Kingdom,America,Northern America,USA,13.0,1.0,11725.0,64M/32Q/32D,Western & Southern Open,,16,1,16.0,2,2.0,Emma Raducanu,10.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/gbr.svg,R64,L,"4-6, 0-6",https://www.wtatennis.com/players/328366/emma-raducanu,False,False,False,False,False,False,False,2,False,16,4,12,0,GB,GBR,826,150,Europe,Northern Europe,ENG,"4,6,None|0,6,None",,
1,National Bank Open Presented By Rogers,,https://www.wtatennis.com/tournaments/806/montreal/2022,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2022-08-08,2022-08-14,2022,8,Toronto,SUI,,CA,CAN,124,019,,America,Northern America,CAN,12.0,60.0,17445.0,64M/32Q/32D,National Bank Open Presented By Rogers,,37,2,18.5,4,2.0,Belinda Bencic,12.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/sui.svg,R32,L,"2-6, 4-6",https://www.wtatennis.com/players/319001/belinda-bencic,False,False,False,False,False,False,False,2,False,18,6,12,0,CH,CHE,756,150,Europe,Central Europe,SUI,"2,6,None|4,6,None",,
2,National Bank Open Presented By Rogers,,https://www.wtatennis.com/tournaments/806/montreal/2022,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2022-08-08,2022-08-14,2022,8,Toronto,ESP,,CA,CAN,124,019,Kingdom of Spain,America,Northern America,CAN,57.0,60.0,17445.0,64M/32Q/32D,National Bank Open Presented By Rogers,,37,2,18.5,4,2.0,Nuria Parrizas Diaz,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/esp.svg,R64,W,"6-3, 6-4",https://www.wtatennis.com/players/314359/nuria-parrizas-diaz,False,False,False,False,False,False,False,2,True,19,12,7,1,ES,ESP,724,150,Europe,Southern Europe,ESP,"6,3,None|6,4,None",,
1,Wimbledon,,https://www.wtatennis.com/tournaments/904/wimbledon/2022,Grand Slam,Grass,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2022-06-27,2022-07-10,2022,6,Wimbledon,FRA,,GB,GBR,826,150,,Europe,Northern Europe,ENG,115.0,,64507.0,128M/128Q/64D,The Championships,,32,1,32.0,3,3.0,Harmony Tan,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/fra.svg,R128,L,"5-7, 6-1, 6-7 (7)",https://www.wtatennis.com/players/320016/harmony-tan,False,False,False,False,False,True,True,3,False,32,17,15,0,FR,FRA,250,150,Europe,Western Europe,FRA,"5,7,None|6,1,None|6,7,7",W,True
1,Wimbledon,,https://www.wtatennis.com/tournaments/904/wimbledon/2021,Grand Slam,Grass,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-06-28,2021-07-10,2021,6,Wimbledon,BLR,,GB,GBR,826,150,,Europe,Northern Europe,ENG,100.0,10.0,65117.0,128M/128Q/64D,The Championships,,6,1,6.0,1,1.0,Aliaksandra Sasnovich,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/blr.svg,R128,L,3-3,https://www.wtatennis.com/players/317790/aliaksandra-sasnovich,True,False,False,False,False,False,False,1,False,6,3,3,0,BY,BLR,112,150,Europe,Eastern Europe,BLR,"3,3,None|Ret",,
1,Roland Garros,,https://www.wtatennis.com/tournaments/903/roland-garros/2021,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-05-30,2021-06-12,2021,5,Paris,KAZ,,FR,FRA,250,150,,Europe,Western Europe,FRA,22.0,240.0,200608.0,128M/128Q/64D,Roland Garros,,90,4,22.5,9,2.25,Elena Rybakina,21.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/kaz.svg,R16,L,"3-6, 5-7",https://www.wtatennis.com/players/324166/elena-rybakina,False,False,False,False,False,False,False,2,False,21,8,13,0,KZ,KAZ,398,142,Asia,Central Asia,KAZ,"3,6,None|5,7,None",,
2,Roland Garros,,https://www.wtatennis.com/tournaments/903/roland-garros/2021,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2021-05-30,2021-06-12,2021,5,Paris,USA,,FR,FRA,250,150,United States of America|America|USA|US,Europe,Western Europe,FRA,50.0,240.0,200608.0,128M/128Q/64D,Roland Garros,,90,4,22.5,9,2.25,Danielle Collins,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/usa.svg,R32,W,"6-4, 6-4",https://www.wtatennis.com/players/316925/danielle-collins,False,False,False,False,False,False,False,2,True,20,12,8,1,US,USA,840,019,America,Northern America,USA,"6,4,None|6,4,None",,
