id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,entry_type,wild_card_entry,points_gain,prize_money,draw,custom_title,alt_titles,tour_total_games,tour_total_matches,tour_avg_games,tour_sets_played,tour_avg_sets_played,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,win_loss_numeric,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score
1,Australian Open,,https://www.wtatennis.com/tournaments/901/australian-open/2020,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2020-01-20,2020-02-02,2020,1,Melbourne,CRO,,AU,AUS,036,009,,Oceania,Australasia,AUS,20.0,W,True,10.0,62353.0,128M/128Q/64D,Australian Open,,19,1,19.0,2,2.0,Donna Vekic,19.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cro.svg,R128,L,"3-6, 4-6",https://www.wtatennis.com/players/318516/donna-vekic,False,False,False,False,False,False,False,2,False,19,7,12,0,HR,HRV,191,150,Europe,Southeastern Europe,CRO,"3,6,None|4,6,None"
1,Brisbane International,,https://www.wtatennis.com/tournaments/800/brisbane/2020,Premier,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2020-01-06,2020-01-12,2020,1,Brisbane,USA,,AU,AUS,036,009,United States of America|America|USA|US,Oceania,Australasia,AUS,53.0,W,True,1.0,12000.0,32M/32Q/16D,Brisbane International,,29,1,29.0,3,3.0,Jennifer Brady,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,R32,L,"6-3, 1-6, 6-7 (3)",https://www.wtatennis.com/players/318358/jennifer-brady,False,False,False,False,False,True,True,3,True,29,13,16,0,US,USA,840,019,America,Northern America,USA,"6,3,None|1,6,None|6,7,3"
1,US Open,,https://www.wtatennis.com/tournaments/905/us-open/2019,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2019-08-26,2019-09-07,2019,8,New York,USA,NY,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,8.0,,,10.0,58000.0,128M/128Q/64D,2019 Us Open Tennis Championships,,14,1,14.0,2,2.0,Serena Williams,8.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,R128,L,"1-6, 1-6",https://www.wtatennis.com/players/230234/serena-williams,False,False,False,False,False,False,False,2,False,14,2,12,0,US,USA,840,019,America,Northern America,USA,"1,6,None|1,6,None"
1,Western & Southern Open,,https://www.wtatennis.com/tournaments/1017/cincinnati/2019,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2019-08-12,2019-08-18,2019,8,Cincinnati,AUS,OH,US,USA,840,019,,America,Northern America,USA,2.0,W,True,60.0,15600.0,64M/32Q/32D,Western & Southern Open,,39,2,19.5,4,2.0,Ashleigh Barty,1.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/aus.svg,R32,L,"4-6, 1-6",https://www.wtatennis.com/players/318033/ashleigh-barty,False,False,False,False,False,False,False,2,False,17,5,12,0,AU,AUS,036,009,Oceania,Australasia,AUS,"4,6,None|1,6,None"
2,Western & Southern Open,,https://www.wtatennis.com/tournaments/1017/cincinnati/2019,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2019-08-12,2019-08-18,2019,8,Cincinnati,USA,OH,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,37.0,W,True,60.0,15600.0,64M/32Q/32D,Western & Southern Open,,39,2,19.5,4,2.0,Alison Riske-Amritraj,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,R64,W,"6-3, 7-6 (4)",https://www.wtatennis.com/players/312850/alison-riske-amritraj,False,False,False,False,True,False,True,2,True,22,13,9,1,US,USA,840,019,America,Northern America,USA,"6,3,None|7,6,4"
1,Rogers Cup Presented By National Bank,,https://www.wtatennis.com/tournaments/806/montreal/2019,Premier 5,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2019-08-05,2019-08-11,2019,8,Toronto,EST,,CA,CAN,124,019,,America,Northern America,CAN,19.0,W,True,1.0,8045.0,64M/64Q/32D,Rogers Cup Presented By National Bank,,29,1,29.0,3,3.0,Anett Kontaveit,16.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/est.svg,R64,L,"6-4, 3-6, 4-6",https://www.wtatennis.com/players/318425/anett-kontaveit,False,False,False,False,False,False,False,3,True,29,13,16,0,EE,EST,233,150,Europe,Northern Europe,EST,"6,4,None|3,6,None|4,6,None"
1,Wimbledon,,https://www.wtatennis.com/tournaments/904/wimbledon/2019,Grand Slam,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2019-07-01,2019-07-14,2019,7,Wimbledon,FRA,,GB,GBR,826,150,,Europe,Northern Europe,ENG,88.0,,,10.0,58241.0,128M/128Q/64D,The Championships,,86,1,86.0,3,3.0,Pauline Parmentier,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/fra.svg,R128,L,"6-4, 64-7, 0-5",https://www.wtatennis.com/players/160515/pauline-parmentier,True,False,False,False,True,False,True,3,True,86,70,16,0,FR,FRA,250,150,Europe,Western Europe,FRA,"6,4,None|64,7,None|0,5,None|Ret"
1,Mallorca Open,,https://www.wtatennis.com/tournaments/1091/mallorca/2019,International,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/250k-tag.svg,2019-06-17,2019-06-23,2019,6,Mallorca,GER,,ES,ESP,724,150,,Europe,Southern Europe,ESP,6.0,W,True,30.0,3400.0,32M/32Q/16D,Mallorca Open,,36,2,18.0,4,2.0,Angelique Kerber,1.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ger.svg,R16,L,"2-6, 3-6",https://www.wtatennis.com/players/311470/angelique-kerber,False,False,False,False,False,False,False,2,False,17,5,12,0,DE,DEU,276,150,Europe,Central Europe,GER,"2,6,None|3,6,None"
2,Mallorca Open,,https://www.wtatennis.com/tournaments/1091/mallorca/2019,International,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/250k-tag.svg,2019-06-17,2019-06-23,2019,6,Mallorca,SVK,,ES,ESP,724,150,,Europe,Southern Europe,ESP,46.0,W,True,30.0,3400.0,32M/32Q/16D,Mallorca Open,,36,2,18.0,4,2.0,Viktoria Hruncakova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/svk.svg,R32,W,"7-6 (8), 6-0",https://www.wtatennis.com/players/322277/viktoria-hruncakova,False,False,False,True,False,False,True,2,True,19,13,6,1,SK,SVK,703,150,Europe,Central Europe,SVK,"7,6,8|6,0,None"
1,St. Petersburg Ladies Trophy,,https://www.wtatennis.com/tournaments/1086/st-petersburg/2019,Premier,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2019-01-28,2019-02-03,2019,1,St. Petersburg,AUS,,RU,RUS,643,150,,Europe,Eastern Europe,RUS,12.0,,,55.0,11640.0,32M/32Q/16D,St. Petersburg Ladies Trophy,,16,1,16.0,2,2.0,Daria Kasatkina,3.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/aus.svg,R16,L,Walkover,https://www.wtatennis.com/players/322082/daria-kasatkina,False,True,False,False,False,False,False,0,False,0,0,0,0,AU,AUS,036,009,Oceania,Australasia,AUS,
