id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type
1,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,UKR,,IT,ITA,380,150,[],Europe,Southern Europe,ITA,10.0,390.0,297315.0,128M/48Q/32D,Elina Svitolina,7.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ukr.svg,Semifinals,L,"4-6, 6-2, 2-6",https://www.wtatennis.com/players/316738/elina-svitolina,False,False,False,False,False,False,False,3,False,26,12,14,UA,UKR,804,150,Europe,Eastern Europe,UKR,"4,6,None|6,2,None|2,6,None",
2,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,USA,,IT,ITA,380,150,"['America', 'USA', 'US']",Europe,Southern Europe,ITA,5.0,390.0,297315.0,128M/48Q/32D,Jessica Pegula,5.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/usa.svg,Quarterfinals,W,"6-1, 6-2",https://www.wtatennis.com/players/316956/jessica-pegula,False,False,False,False,False,False,False,2,True,15,12,3,US,USA,840,019,America,Northern America,USA,"6,1,None|6,2,None",
3,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,JPN,,IT,ITA,380,150,[],Europe,Southern Europe,ITA,16.0,390.0,297315.0,128M/48Q/32D,Naomi Osaka,15.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/jpn.svg,Round of 16,W,"6-2, 6-1",https://www.wtatennis.com/players/319998/naomi-osaka,False,False,False,False,False,False,False,2,True,15,12,3,JP,JPN,392,142,Asia,East Asia,JPN,"6,2,None|6,1,None",
4,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,ITA,,IT,ITA,380,150,[],Europe,Southern Europe,ITA,41.0,390.0,297315.0,128M/48Q/32D,Elisabetta Cocciaretto,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ita.svg,Round of 32,W,"6-1, 6-0",https://www.wtatennis.com/players/327909/elisabetta-cocciaretto,False,False,False,False,False,False,False,2,True,13,12,1,IT,ITA,380,150,Europe,Southern Europe,ITA,"6,1,None|6,0,None",
5,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,USA,,IT,ITA,380,150,"['America', 'USA', 'US']",Europe,Southern Europe,ITA,63.0,390.0,297315.0,128M/48Q/32D,Caty Mcnally,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/usa.svg,Round of 64,W,"6-1, 6-7 (5), 6-3",https://www.wtatennis.com/players/325725/caty-mcnally,False,False,False,False,True,False,True,3,True,29,18,11,US,USA,840,019,America,Northern America,USA,"6,1,None|6,7,5|6,3,None",
6,Internazionali BNL d'Italia,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2c058ad8-b3d8-49a9-a863-85d7b87a6783/WTA-Tournament_Rome-2018.png?height=128,https://www.wtatennis.com/tournaments/rome,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-05-05,2026-05-17,2026,5,Rome,,,IT,ITA,380,150,[],Europe,Southern Europe,ITA,,390.0,297315.0,128M/48Q/32D,,,,Round of 128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,USA,,ES,ESP,724,150,"['America', 'USA', 'US']",Europe,Southern Europe,ESP,34.0,65.0,54110.0,128M/48Q/32D,Ann Li,31.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/usa.svg,Round of 32,L,"64-7, 6-2, 0-3",https://www.wtatennis.com/players/326096/ann-li,True,False,False,True,False,False,True,3,False,82,70,12,US,USA,840,019,America,Northern America,USA,"64,7,None|6,2,None|0,3,None|Ret",
2,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,UKR,,ES,ESP,724,150,[],Europe,Southern Europe,ESP,98.0,65.0,54110.0,128M/48Q/32D,Daria Snigur,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ukr.svg,Round of 64,W,"6-1, 6-2",https://www.wtatennis.com/players/327845/daria-snigur,False,False,False,False,False,False,False,2,True,15,12,3,UA,UKR,804,150,Europe,Eastern Europe,UKR,"6,1,None|6,2,None",
3,Mutua Madrid Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/46f056ec-5c74-4159-bc35-97ca4c015c80/WTA-Tournament_Madrid-2023.png?height=128,https://www.wtatennis.com/tournaments/madrid-open,WTA 1000,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-04-21,2026-05-03,2026,4,Madrid,,,ES,ESP,724,150,[],Europe,Southern Europe,ESP,,65.0,54110.0,128M/48Q/32D,,,,Round of 128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,RUS,,DE,DEU,276,150,[],Europe,Central Europe,GER,9.0,108.0,35000.0,32M/16Q/16D,Mirra Andreeva,6.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/rus.svg,Quarterfinals,L,"6-3, 4-6, 3-6",https://www.wtatennis.com/players/331809/mirra-andreeva,False,False,False,False,False,False,False,3,True,28,13,15,RU,RUS,643,150,Europe,Eastern Europe,RUS,"6,3,None|4,6,None|3,6,None",
2,Porsche Tennis Grand Prix,https://photoresources.wtatennis.com/photo-resources/2026/04/16/853dd66d-3c70-40ab-9215-4a22158de24a/WTA-Tournament_Stuttgart-2017.png?height=128,https://www.wtatennis.com/tournaments/1051/stuttgart/2026,WTA 500,Clay,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2026-04-13,2026-04-19,2026,4,Stuttgart,GER,,DE,DEU,276,150,[],Europe,Central Europe,GER,51.0,108.0,35000.0,32M/16Q/16D,Laura Siegemund,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ger.svg,Round of 16,W,"6-2, 6-3",https://www.wtatennis.com/players/310926/laura-siegemund,False,False,False,False,False,False,False,2,True,17,12,5,DE,DEU,276,150,Europe,Central Europe,GER,"6,2,None|6,3,None",
