id,title,logo,url,location,level,surface,level_logo,name,seed,country,flag,round,win_loss,score,rank,url_profile,date,points_gain,prize_money,draw,start_date,end_date,year,month,cum_prize_money
0,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2025/04/16/ad3c213f-6323-4422-bb86-ff92e8cb213c/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,MIAMI • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Coco Gauff,1.0,USA,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/usa.svg,Final F,W,"6 - 2,4 - 6,6 - 3,",1,https://www.wtatennis.com/players/328560/coco-gauff,17 - 29 Mar 2026,1000.0,1151380.0,128M/48Q/32D,,2026-03-29 00:00:00,,,1151380.0
1,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2025/04/16/ad3c213f-6323-4422-bb86-ff92e8cb213c/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,MIAMI • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Elena Rybakina,1.0,KAZ,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/kaz.svg,Semifinals Semi,W,"6 - 4,6 - 3,",1,https://www.wtatennis.com/players/324166/elena-rybakina,17 - 29 Mar 2026,1000.0,1151380.0,128M/48Q/32D,,2026-03-29 00:00:00,,,2302760.0
2,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2025/04/16/ad3c213f-6323-4422-bb86-ff92e8cb213c/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,MIAMI • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Hailey Baptiste,1.0,USA,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/usa.svg,Quarterfinals Quarter,W,"6 - 4,6 - 4,",1,https://www.wtatennis.com/players/327101/hailey-baptiste,17 - 29 Mar 2026,1000.0,1151380.0,128M/48Q/32D,,2026-03-29 00:00:00,,,3454140.0
3,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2025/04/16/ad3c213f-6323-4422-bb86-ff92e8cb213c/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,MIAMI • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Qinwen Zheng,1.0,CHN,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/chn.svg,Round of 16 R16,W,"6 - 3,6 - 4,",1,https://www.wtatennis.com/players/328120/qinwen-zheng,17 - 29 Mar 2026,1000.0,1151380.0,128M/48Q/32D,,2026-03-29 00:00:00,,,4605520.0
4,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2025/04/16/ad3c213f-6323-4422-bb86-ff92e8cb213c/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,MIAMI • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Caty Mcnally,1.0,USA,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/usa.svg,Round of 32 R32,W,"6 - 4,6 - 2,",1,https://www.wtatennis.com/players/325725/caty-mcnally,17 - 29 Mar 2026,1000.0,1151380.0,128M/48Q/32D,,2026-03-29 00:00:00,,,5756900.0
5,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2025/04/16/ad3c213f-6323-4422-bb86-ff92e8cb213c/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,MIAMI • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Ann Li,1.0,USA,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/usa.svg,Round of 64 R64,W,"7 - 65,6 - 4,",1,https://www.wtatennis.com/players/326096/ann-li,17 - 29 Mar 2026,1000.0,1151380.0,128M/48Q/32D,,2026-03-29 00:00:00,,,6908280.0
6,Miami Open presented by Itaú,https://photoresources.wtatennis.com/photo-resources/2025/04/16/ad3c213f-6323-4422-bb86-ff92e8cb213c/WTA-Tournament_Miami-2024.png?height=128,https://www.wtatennis.com/tournaments/miami-open,MIAMI • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,,1.0,,,Round of 128 R128,,Bye,1,,17 - 29 Mar 2026,1000.0,1151380.0,128M/48Q/32D,,2026-03-29 00:00:00,,,8059660.0
7,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/e155ccb6-5daf-4a93-8fa1-a30ce14c2704/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,INDIAN WELLS • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Elena Rybakina,1.0,KAZ,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/kaz.svg,Final F,W,"3 - 6,6 - 3,7 - 66,",1,https://www.wtatennis.com/players/324166/elena-rybakina,4 - 15 Mar 2026,1000.0,1085220.0,128M/48Q/32D,2026-03-04 00:00:00,2026-03-15 00:00:00,2026.0,3.0,9144880.0
8,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/e155ccb6-5daf-4a93-8fa1-a30ce14c2704/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,INDIAN WELLS • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Linda Noskova,1.0,CZE,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/cze.svg,Semifinals Semi,W,"6 - 3,6 - 4,",1,https://www.wtatennis.com/players/329668/linda-noskova,4 - 15 Mar 2026,1000.0,1085220.0,128M/48Q/32D,2026-03-04 00:00:00,2026-03-15 00:00:00,2026.0,3.0,10230100.0
9,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/e155ccb6-5daf-4a93-8fa1-a30ce14c2704/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,INDIAN WELLS • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Victoria Mboko,1.0,CAN,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/can.svg,Quarterfinals Quarter,W,"7 - 60,6 - 4,",1,https://www.wtatennis.com/players/331006/victoria-mboko,4 - 15 Mar 2026,1000.0,1085220.0,128M/48Q/32D,2026-03-04 00:00:00,2026-03-15 00:00:00,2026.0,3.0,11315320.0
10,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/e155ccb6-5daf-4a93-8fa1-a30ce14c2704/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,INDIAN WELLS • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Naomi Osaka,1.0,JPN,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/jpn.svg,Round of 16 R16,W,"6 - 2,6 - 4,",1,https://www.wtatennis.com/players/319998/naomi-osaka,4 - 15 Mar 2026,1000.0,1085220.0,128M/48Q/32D,2026-03-04 00:00:00,2026-03-15 00:00:00,2026.0,3.0,12400540.0
11,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/e155ccb6-5daf-4a93-8fa1-a30ce14c2704/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,INDIAN WELLS • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Jaqueline  Cristian,1.0,ROU,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/rou.svg,Round of 32 R32,W,"6 - 4,6 - 1,",1,https://www.wtatennis.com/players/320319/jaqueline-cristian,4 - 15 Mar 2026,1000.0,1085220.0,128M/48Q/32D,2026-03-04 00:00:00,2026-03-15 00:00:00,2026.0,3.0,13485760.0
12,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/e155ccb6-5daf-4a93-8fa1-a30ce14c2704/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,INDIAN WELLS • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,Himeno Sakatsume,1.0,JPN,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/jpn.svg,Round of 64 R64,W,"6 - 4,6 - 2,",1,https://www.wtatennis.com/players/326568/himeno-sakatsume,4 - 15 Mar 2026,1000.0,1085220.0,128M/48Q/32D,2026-03-04 00:00:00,2026-03-15 00:00:00,2026.0,3.0,14570980.0
13,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/e155ccb6-5daf-4a93-8fa1-a30ce14c2704/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,INDIAN WELLS • USA,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/1000k-tag.svg,,1.0,,,Round of 128 R128,,Bye,1,,4 - 15 Mar 2026,1000.0,1085220.0,128M/48Q/32D,2026-03-04 00:00:00,2026-03-15 00:00:00,2026.0,3.0,15656200.0
14,Australian Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/20886615-8c76-4d00-b747-7946c3692df2/WTA-Tournament_Australian-Open.png?height=128,https://www.wtatennis.com/tournaments/australian-open,MELBOURNE • AUS,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/gs-tag.svg,Elena Rybakina,1.0,KAZ,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/kaz.svg,Final F,L,"4 - 6,6 - 4,4 - 6,",1,https://www.wtatennis.com/players/324166/elena-rybakina,18 Jan - 1 Feb 2026,1300.0,1391952.0,128M/128Q/64D,2026-01-18 00:00:00,2026-02-01 00:00:00,2026.0,1.0,17048152.0
15,Australian Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/20886615-8c76-4d00-b747-7946c3692df2/WTA-Tournament_Australian-Open.png?height=128,https://www.wtatennis.com/tournaments/australian-open,MELBOURNE • AUS,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/gs-tag.svg,Elina Svitolina,1.0,UKR,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/ukr.svg,Semifinals Semi,W,"6 - 2,6 - 3,",1,https://www.wtatennis.com/players/316738/elina-svitolina,18 Jan - 1 Feb 2026,1300.0,1391952.0,128M/128Q/64D,2026-01-18 00:00:00,2026-02-01 00:00:00,2026.0,1.0,18440104.0
16,Australian Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/20886615-8c76-4d00-b747-7946c3692df2/WTA-Tournament_Australian-Open.png?height=128,https://www.wtatennis.com/tournaments/australian-open,MELBOURNE • AUS,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/gs-tag.svg,Iva Jovic,1.0,USA,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/usa.svg,Quarterfinals Quarter,W,"6 - 3,6 - 0,",1,https://www.wtatennis.com/players/332285/iva-jovic,18 Jan - 1 Feb 2026,1300.0,1391952.0,128M/128Q/64D,2026-01-18 00:00:00,2026-02-01 00:00:00,2026.0,1.0,19832056.0
17,Australian Open,https://photoresources.wtatennis.com/photo-resources/2025/04/16/20886615-8c76-4d00-b747-7946c3692df2/WTA-Tournament_Australian-Open.png?height=128,https://www.wtatennis.com/tournaments/australian-open,MELBOURNE • AUS,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.31.10/i/elements/gs-tag.svg,Victoria Mboko,1.0,CAN,https://www.wtatennis.com/resources/v7.31.10/i/elements/flags/can.svg,Round of 16 R16,W,"6 - 1,7 - 61,",1,https://www.wtatennis.com/players/331006/victoria-mboko,18 Jan - 1 Feb 2026,1300.0,1391952.0,128M/128Q/64D,2026-01-18 00:00:00,2026-02-01 00:00:00,2026.0,1.0,21224008.0
